Duplicate and hierarchy review

Multiple IDs, suites, campuses, and duplicate marketing entities do not auto-promote.

| Market | Property | Municipality | Risks | Legacy IDs |
| san-jose-south-bay | 2431 park blvd | Palo Alto | MULTIPLE_LEGACY_IDS | 22 |
| san-jose-south-bay | 4131 el camino way | Palo Alto | MULTIPLE_LEGACY_IDS | 22 |
| san-jose-south-bay | 1405 s bascom ave | San Jose | MULTIPLE_LEGACY_IDS | 22 |
| san-jose-south-bay | 600 n 3rd st | San Jose | MULTIPLE_LEGACY_IDS | 22 |
| san-jose-south-bay | 665 lincoln ave | San Jose | MULTIPLE_LEGACY_IDS | 22 |
| san-jose-south-bay | 795 s 2nd st | San Jose | MULTIPLE_LEGACY_IDS | 22 |
| san-jose-south-bay | 924 w fremont ave | Sunnyvale | MULTIPLE_LEGACY_IDS | 22 |
| san-jose-south-bay | 907 911 dell ave | Campbell | MULTIPLE_LEGACY_IDS | 21 |
| san-jose-south-bay | 4960 camden ave | San Jose | MULTIPLE_LEGACY_IDS | 21 |
| san-jose-south-bay | 52 78 e santa clara st | San Jose | MULTIPLE_LEGACY_IDS | 21 |
| san-jose-south-bay | 4249 cheney st | Santa Clara | MULTIPLE_LEGACY_IDS | 21 |
| san-jose-south-bay | 5145 5155 stevens creek blvd | Santa Clara | MULTIPLE_LEGACY_IDS | 21 |
| san-jose-south-bay | 36 oak ln | Mountain View | MULTIPLE_LEGACY_IDS | 20 |
| san-jose-south-bay | 1597 tully rd | San Jose | MULTIPLE_LEGACY_IDS | 20 |
| san-jose-south-bay | 2630 union ave | San Jose | MULTIPLE_LEGACY_IDS | 20 |
| san-jose-south-bay | 961 965 e arques ave | Sunnyvale | MULTIPLE_LEGACY_IDS | 20 |
| san-jose-south-bay | 16540 los gatos blvd | Los Gatos | MULTIPLE_LEGACY_IDS | 18 |
| san-jose-south-bay | 975 s first st | San Jose | MULTIPLE_LEGACY_IDS | 18 |
| san-jose-south-bay | 3401 el camino real | Palo Alto | MULTIPLE_LEGACY_IDS | 17 |
| san-jose-south-bay | 580 ahwanee | Sunnyvale | MULTIPLE_LEGACY_IDS | 17 |
| san-jose-south-bay | 2450 e pulgas ave | East Palo Alto | MULTIPLE_LEGACY_IDS | 16 |
| detroit-novi | oakland commons vacant land | Southfield | MULTIPLE_LEGACY_IDS | 114 |
| detroit-novi | 20700 20750 civic center dr | Southfield | MULTIPLE_LEGACY_IDS | 113 |
| detroit-novi | 16112 16184 middlebelt rd | Livonia | MULTIPLE_LEGACY_IDS | 107 |
| detroit-novi | 33710 33760 plymouth rd | Livonia | MULTIPLE_LEGACY_IDS | 107 |
| detroit-novi | 37104 37176 6 mile | Livonia | MULTIPLE_LEGACY_IDS | 107 |
| detroit-novi | 37294 37308 6 mile rd | Livonia | MULTIPLE_LEGACY_IDS | 107 |
| detroit-novi | 30500 30850 beck rd | Novi | MULTIPLE_LEGACY_IDS | 107 |
| detroit-novi | 27200 27220 w 8 mile rd | Southfield | MULTIPLE_LEGACY_IDS | 107 |
| detroit-novi | 28821 28871 southfield rd | Southfield | MULTIPLE_LEGACY_IDS | 107 |
| detroit-novi | lapeer rd and interpark dr | Auburn Hills | MULTIPLE_LEGACY_IDS | 105 |
| detroit-novi | 29441 29567 five mile rd | Livonia | MULTIPLE_LEGACY_IDS | 105 |
| detroit-novi | pacific rd taylor rd | Auburn Hills | MULTIPLE_LEGACY_IDS | 103 |
| detroit-novi | 28901 28935 southfield rd | Southfield | MULTIPLE_LEGACY_IDS | 97 |
| detroit-novi | 28565 28595 northwestern hwy | Southfield | MULTIPLE_LEGACY_IDS | 90 |
| detroit-novi | 3031 w grand blvd | Detroit | MULTIPLE_LEGACY_IDS, SUITE_BUILDING_AMBIGUITY | 87 |
| detroit-novi | 36121 36141 schoolcraft rd | Livonia | MULTIPLE_LEGACY_IDS | 82 |
| detroit-novi | 38047 38151 ann arbor rd | Livonia | MULTIPLE_LEGACY_IDS | 80 |
| detroit-novi | 15375 15383 inkster rd | Livonia | MULTIPLE_LEGACY_IDS | 79 |
| detroit-novi | ford rd and i 94 expressway | Dearborn | MULTIPLE_LEGACY_IDS | 68 |
| detroit-novi | 30598 30860 southfield rd | Southfield | MULTIPLE_LEGACY_IDS | 64 |
| detroit-novi | 15103 15105 kercheval | Detroit | MULTIPLE_LEGACY_IDS | 63 |
| detroit-novi | 16940 16912 joy rd | Detroit | MULTIPLE_LEGACY_IDS | 63 |
| detroit-novi | 17122 17180 farmington rd | Livonia | MULTIPLE_LEGACY_IDS | 63 |
| detroit-novi | 34706 34746 plymouth rd | Livonia | MULTIPLE_LEGACY_IDS | 63 |
| detroit-novi | midtown cass corridor | Detroit | MULTIPLE_LEGACY_IDS | 58 |
| detroit-novi | 19151 19223 merriman rd | Livonia | MULTIPLE_LEGACY_IDS | 57 |
| detroit-novi | 29227 29245 6 mile rd | Livonia | MULTIPLE_LEGACY_IDS | 56 |
| detroit-novi | 23389 23391 telegraph | Southfield | MULTIPLE_LEGACY_IDS | 56 |
| detroit-novi | 16890 16940 schaefer hwy | Detroit | MULTIPLE_LEGACY_IDS | 55 |
| detroit-novi | 32606 32630 w seven mile rd | Livonia | MULTIPLE_LEGACY_IDS | 55 |
| detroit-novi | 24529 24571 w 12 mile rd | Southfield | MULTIPLE_LEGACY_IDS | 55 |
| detroit-novi | 28661 28681 northwestern hwy | Southfield | MULTIPLE_LEGACY_IDS | 55 |
| detroit-novi | 15365 15375 newburgh rd | Livonia | MULTIPLE_LEGACY_IDS | 52 |
| detroit-novi | 1360 1400 oakman blvd | Detroit | MULTIPLE_LEGACY_IDS | 51 |
| detroit-novi | 11908 11940 conner st | Detroit | MULTIPLE_LEGACY_IDS | 50 |
| detroit-novi | 37609 37685 5 mile rd | Livonia | MULTIPLE_LEGACY_IDS | 50 |
| detroit-novi | 123 main | Livonia | MULTIPLE_LEGACY_IDS | 48 |
| detroit-novi | 32231 32233 schoolcraft rd | Livonia | MULTIPLE_LEGACY_IDS | 44 |
| detroit-novi | 22506 22554 telegraph rd | Southfield | MULTIPLE_LEGACY_IDS | 40 |
| detroit-novi | 27335 27355 w eleven mile rd | Southfield | MULTIPLE_LEGACY_IDS | 38 |
| atlanta | atlanta msa | Atlanta | MULTIPLE_LEGACY_IDS | 100 |
| atlanta | 586 se cobb pky | Marietta | MULTIPLE_LEGACY_IDS | 96 |
| atlanta | 2901 clairmont rd | Atlanta | MULTIPLE_LEGACY_IDS | 91 |
| atlanta | 6110 mcfarland station dr | Alpharetta | MULTIPLE_LEGACY_IDS, SUITE_BUILDING_AMBIGUITY | 76 |
| atlanta | 2695 austell rd | Marietta | MULTIPLE_LEGACY_IDS | 75 |
| atlanta | 4300 paces ferry rd | Atlanta | MULTIPLE_LEGACY_IDS | 70 |
| atlanta | fowler hill rd | Alpharetta | MULTIPLE_LEGACY_IDS | 62 |
| atlanta | 1385 oxford rd | Atlanta | MULTIPLE_LEGACY_IDS | 55 |
| atlanta | 1823 sw delowe dr | Atlanta | MULTIPLE_LEGACY_IDS | 55 |
| atlanta | 731 powder springs | Marietta | MULTIPLE_LEGACY_IDS | 55 |
| atlanta | westside pkwy at hembree rd | Alpharetta | MULTIPLE_LEGACY_IDS | 54 |
| atlanta | 970 mlk jr dr | Atlanta | MULTIPLE_LEGACY_IDS | 53 |
| atlanta | 6135 jimmy carter | Norcross | MULTIPLE_LEGACY_IDS | 52 |
| atlanta | 1265 powder springs | Marietta | MULTIPLE_LEGACY_IDS | 51 |
| atlanta | 695 powder springs | Marietta | MULTIPLE_LEGACY_IDS | 51 |
| atlanta | hwy 9 five acre rd | Alpharetta | MULTIPLE_LEGACY_IDS | 50 |
| atlanta | 100 home sfr investment portfolio atlanta ga | Atlanta | MULTIPLE_LEGACY_IDS | 49 |
| atlanta | 3452 s cobb dr | Smyrna | MULTIPLE_LEGACY_IDS | 47 |
| atlanta | 0 jailette trace | Atlanta | MULTIPLE_LEGACY_IDS | 46 |
| atlanta | 1383 spring st | Atlanta | MULTIPLE_LEGACY_IDS | 45 |
| atlanta | 6 5 ac austell rd assemblage | Marietta | MULTIPLE_LEGACY_IDS | 44 |
| atlanta | 0 connell ave | Atlanta | MULTIPLE_LEGACY_IDS | 43 |
| atlanta | 57 home sfr investment portfolio decatur ga | Decatur | MULTIPLE_LEGACY_IDS | 43 |
| atlanta | 194 powers ferry rd | Marietta | MULTIPLE_LEGACY_IDS | 43 |
| atlanta | 707 whitlock ave a 37 | Marietta | MULTIPLE_LEGACY_IDS | 43 |
| atlanta | 5430 new northside dr | Atlanta | MULTIPLE_LEGACY_IDS | 42 |
| atlanta | 2865 log cabin dr se | Smyrna | MULTIPLE_LEGACY_IDS | 40 |
| atlanta | atlanta sfr dynamic portfolio | Atlanta | MULTIPLE_LEGACY_IDS | 39 |
| atlanta | 2575 peachtree st | Atlanta | MULTIPLE_LEGACY_IDS | 37 |
| atlanta | 00 roosevelt hwy | Atlanta | MULTIPLE_LEGACY_IDS | 36 |
| atlanta | 3141 nifda blvd | Smyrna | MULTIPLE_LEGACY_IDS | 35 |
| atlanta | 1911 and 1931 roosevelt hwy | Atlanta | MULTIPLE_LEGACY_IDS | 33 |
| atlanta | 515 cobb pkwy | Marietta | MULTIPLE_LEGACY_IDS | 32 |
| atlanta | 1218 1236 menlo dr | Atlanta | MULTIPLE_LEGACY_IDS | 31 |
| atlanta | 1000 hartsfield centre pkwy | Atlanta | MULTIPLE_LEGACY_IDS | 30 |
| atlanta | 2255 sewell mill rd | Marietta | MULTIPLE_LEGACY_IDS, SUITE_BUILDING_AMBIGUITY | 29 |
| atlanta | 6115 jimmy carter | Norcross | MULTIPLE_LEGACY_IDS | 29 |
| atlanta | 11815 northfall ln | Alpharetta | MULTIPLE_LEGACY_IDS, SUITE_BUILDING_AMBIGUITY | 26 |
| atlanta | 1875 lockeway dr | Alpharetta | MULTIPLE_LEGACY_IDS, SUITE_BUILDING_AMBIGUITY | 26 |
| atlanta | 2024 powers ferry rd se | Atlanta | MULTIPLE_LEGACY_IDS, SUITE_BUILDING_AMBIGUITY | 26 |
| nashville | 1785 hwy 31 and s swift rd | Goodlettsville | MULTIPLE_LEGACY_IDS | 48 |
| nashville | 9837 9849 split log | Brentwood | MULTIPLE_LEGACY_IDS | 24 |
| nashville | 1208 e northfield blvd | Murfreesboro | MULTIPLE_LEGACY_IDS, SUITE_BUILDING_AMBIGUITY | 22 |
| nashville | 3354 perimeter hill dr | Nashville | MULTIPLE_LEGACY_IDS | 22 |
| nashville | 3636 clarksville pike | Nashville | MULTIPLE_LEGACY_IDS | 21 |
| nashville | 1109 elm hill pike | Nashville | MULTIPLE_LEGACY_IDS | 20 |
| nashville | manson pike | Murfreesboro | MULTIPLE_LEGACY_IDS | 19 |
| nashville | 2201 buena vista pike | Nashville | MULTIPLE_LEGACY_IDS | 18 |
| nashville | 213 w maplewood ln | Nashville | MULTIPLE_LEGACY_IDS, SUITE_BUILDING_AMBIGUITY | 16 |
| nashville | 213 217 w maplewood ln | Nashville | MULTIPLE_LEGACY_IDS | 11 |
| nashville | 4106 gallatin pike | Nashville | MULTIPLE_LEGACY_IDS | 11 |
| nashville | 222 second ave s | Nashville | MULTIPLE_LEGACY_IDS | 10 |
| nashville | 1201 7th ave n | Nashville | MULTIPLE_LEGACY_IDS | 8 |
| nashville | 3710 n natchez ct | Nashville | MULTIPLE_LEGACY_IDS | 8 |
| nashville | 5722 hickory plz | Nashville | MULTIPLE_LEGACY_IDS | 8 |
| nashville | 73 white bridge rd | Nashville | MULTIPLE_LEGACY_IDS, SUITE_BUILDING_AMBIGUITY | 8 |
| nashville | 822 wren rd | Goodlettsville | MULTIPLE_LEGACY_IDS | 7 |
| nashville | 2309 clarksville pike | Nashville | MULTIPLE_LEGACY_IDS | 7 |
| nashville | 2625 gallatin pike | Nashville | MULTIPLE_LEGACY_IDS | 7 |
| nashville | 1337 baptist world center dr | Nashville | MULTIPLE_LEGACY_IDS | 6 |
| nashville | 1612 westgate cir | Brentwood | MULTIPLE_LEGACY_IDS | 5 |
| nashville | 102 hazel path | Hendersonville | MULTIPLE_LEGACY_IDS, SUITE_BUILDING_AMBIGUITY | 5 |
| nashville | 1945 southpointe way | Murfreesboro | MULTIPLE_LEGACY_IDS, SUITE_BUILDING_AMBIGUITY | 5 |
| nashville | 1017 12th ave n | Nashville | MULTIPLE_LEGACY_IDS | 5 |
| nashville | 351 harding pl | Nashville | MULTIPLE_LEGACY_IDS | 5 |
| nashville | 9495 crockett rd | Brentwood | MULTIPLE_LEGACY_IDS | 4 |
| nashville | 2528 halls hill pike | Murfreesboro | MULTIPLE_LEGACY_IDS | 4 |
| nashville | asbury ln | Murfreesboro | MULTIPLE_LEGACY_IDS | 4 |
| nashville | 1625 23rd ave n | Nashville | MULTIPLE_LEGACY_IDS | 4 |
| nashville | 810 broadway | Nashville | MULTIPLE_LEGACY_IDS | 4 |
| nashville | 1625 s church st | Murfreesboro | MULTIPLE_LEGACY_IDS | 3 |
| nashville | 1727 nw broad st | Murfreesboro | MULTIPLE_LEGACY_IDS | 3 |
| nashville | 2295 nw broad st | Murfreesboro | MULTIPLE_LEGACY_IDS | 3 |
| nashville | 2896 s rutherford blvd | Murfreesboro | MULTIPLE_LEGACY_IDS | 3 |
| nashville | 5530 nw broad st | Murfreesboro | MULTIPLE_LEGACY_IDS | 3 |
| nashville | 1212 1214 1st ave s | Nashville | MULTIPLE_LEGACY_IDS | 3 |
| nashville | 127 cleveland st | Nashville | MULTIPLE_LEGACY_IDS | 3 |
| nashville | 1728 jefferson st | Nashville | MULTIPLE_LEGACY_IDS | 3 |
| nashville | 1912 old murfreesboro pike | Nashville | MULTIPLE_LEGACY_IDS | 3 |
| nashville | 210 w maplewood ln | Nashville | MULTIPLE_LEGACY_IDS | 3 |
| kansas-city-mo-ks | ne kansas city multi family | Kansas City | MULTIPLE_LEGACY_IDS | 57 |
| kansas-city-mo-ks | harold st | Olathe | MULTIPLE_LEGACY_IDS | 57 |
| kansas-city-mo-ks | 3000 pennsylvania ave | Kansas City | MULTIPLE_LEGACY_IDS | 53 |
| kansas-city-mo-ks | dennis land | Olathe | MULTIPLE_LEGACY_IDS | 53 |
| kansas-city-mo-ks | 13424 13430 santa fe | Lenexa | MULTIPLE_LEGACY_IDS | 51 |
| kansas-city-mo-ks | 23726 23730 college blvd | Olathe | MULTIPLE_LEGACY_IDS | 45 |
| kansas-city-mo-ks | 16311 e 23rd st | Independence | MULTIPLE_LEGACY_IDS | 42 |
| kansas-city-mo-ks | 49 home sfr investment portfolio kansas city mo ks | Kansas City | MULTIPLE_LEGACY_IDS | 40 |
| kansas-city-mo-ks | ne kansas city residential portfolio 1 | Kansas City | MULTIPLE_LEGACY_IDS | 40 |
| kansas-city-mo-ks | ne kansas city residential portfolio 2 | Kansas City | MULTIPLE_LEGACY_IDS | 40 |
| kansas-city-mo-ks | ne kansas city residential portfolio 3 | Kansas City | MULTIPLE_LEGACY_IDS | 40 |
| kansas-city-mo-ks | ne kansas city residential portfolio 4 | Kansas City | MULTIPLE_LEGACY_IDS | 40 |
| kansas-city-mo-ks | college pflumm | Olathe | MULTIPLE_LEGACY_IDS | 36 |
| kansas-city-mo-ks | 615 623 e 23rd st | Independence | MULTIPLE_LEGACY_IDS | 27 |
| kansas-city-mo-ks | 19405 19415 w 151st terr | Olathe | MULTIPLE_LEGACY_IDS | 27 |
| kansas-city-mo-ks | 18877 18889 w 158th | Olathe | MULTIPLE_LEGACY_IDS | 26 |
| kansas-city-mo-ks | 12708 s black bob rd | Olathe | MULTIPLE_LEGACY_IDS | 22 |
| kansas-city-mo-ks | 8325 8339 nieman rd | Lenexa | MULTIPLE_LEGACY_IDS | 21 |
| kansas-city-mo-ks | 8665 w 135st st | Overland Park | MULTIPLE_LEGACY_IDS | 21 |
| kansas-city-mo-ks | 9303 w 75th | Overland Park | MULTIPLE_LEGACY_IDS | 21 |
| kansas-city-mo-ks | 900 e 21st st | Kansas City | MULTIPLE_LEGACY_IDS | 16 |
| kansas-city-mo-ks | 16575 s theden rd | Olathe | MULTIPLE_LEGACY_IDS | 16 |
| kansas-city-mo-ks | 17201 17351 w 113th st | Lenexa | MULTIPLE_LEGACY_IDS | 13 |
| kansas-city-mo-ks | 8663 w 135th st | Overland Park | MULTIPLE_LEGACY_IDS | 13 |
| kansas-city-mo-ks | 9424 johnson dr | Shawnee | MULTIPLE_LEGACY_IDS | 13 |
| kansas-city-mo-ks | 5251 w 116th pl | Leawood | MULTIPLE_LEGACY_IDS | 11 |
| kansas-city-mo-ks | 519 521 e kansas city rd | Olathe | MULTIPLE_LEGACY_IDS | 11 |
| kansas-city-mo-ks | 7300 w 110th st commerce plz 1 | Overland Park | MULTIPLE_LEGACY_IDS | 9 |
| kansas-city-mo-ks | 9393 w 110th st bldg 51 corporate woods | Overland Park | MULTIPLE_LEGACY_IDS | 9 |
| kansas-city-mo-ks | 2010 e spruce cir | Olathe | MULTIPLE_LEGACY_IDS | 8 |
| kansas-city-mo-ks | 12170 blue valley pkwy | Overland Park | MULTIPLE_LEGACY_IDS | 7 |
| kansas-city-mo-ks | 8005 w 110th st | Overland Park | MULTIPLE_LEGACY_IDS, SUITE_BUILDING_AMBIGUITY | 5 |
| kansas-city-mo-ks | 5732 barton dr | Shawnee | MULTIPLE_LEGACY_IDS | 5 |
| kansas-city-mo-ks | 5734 barton dr | Shawnee | MULTIPLE_LEGACY_IDS | 5 |
| kansas-city-mo-ks | 10110 e 63rd st | Kansas City | MULTIPLE_LEGACY_IDS | 4 |
| kansas-city-mo-ks | 950 state ave | Kansas City | MULTIPLE_LEGACY_IDS | 4 |
| kansas-city-mo-ks | 12760 w 87th st | Lenexa | MULTIPLE_LEGACY_IDS | 4 |
| kansas-city-mo-ks | 11503 s strang line rd | Olathe | MULTIPLE_LEGACY_IDS | 4 |
| kansas-city-mo-ks | 7590 w 151st st | Overland Park | MULTIPLE_LEGACY_IDS | 4 |
| kansas-city-mo-ks | 5840 n oak trafficway | Kansas City | MULTIPLE_LEGACY_IDS | 3 |
| miami-doral-medley | nw 137th ave nw 25th st | Miami | MULTIPLE_LEGACY_IDS | 66 |
| miami-doral-medley | 681 nw 108 st | Miami | MULTIPLE_LEGACY_IDS | 65 |
| miami-doral-medley | nw 26th st w of nw 87th ct | Miami | MULTIPLE_LEGACY_IDS | 62 |
