city,state_abbr,state,county,metro,lat,lng,building_count,city_description,updated_at,gsc_clicks,gsc_impressions,source_url
Seffner,FL,Florida,,,,,,,,47,1615,https://m.rofo.com/FL/Seffner
Marion,IN,Indiana,,,,,,,,47,1545,https://m.rofo.com/IN/Marion
Palatka,FL,Florida,,,,,,,,47,1379,https://m.rofo.com/FL/Palatka
Ramona,CA,California,,,,,,,,47,1275,https://m.rofo.com/CA/Ramona
Paw Paw,MI,Michigan,,,,,,,,47,1169,https://m.rofo.com/MI/Paw-Paw
Rincon,GA,Georgia,,,,,,,,47,1029,https://m.rofo.com/GA/Rincon
Spring Lake,MI,Michigan,,,,,,,,47,712,https://m.rofo.com/MI/Spring-Lake
Odessa,FL,Florida,,,,,,,,46,2615,https://m.rofo.com/FL/Odessa
Grand Rapids,MN,Minnesota,,,,,,,,46,2377,https://m.rofo.com/MN/Grand-Rapids
Sumter,SC,South Carolina,,,,,,,,46,1645,https://m.rofo.com/SC/Sumter
Sneads Ferry,NC,North Carolina,,,,,,,,46,1622,https://m.rofo.com/NC/Sneads-Ferry
Ocean City,MD,Maryland,,,,,,,,46,1576,https://m.rofo.com/MD/Ocean-City
Oneida,TN,Tennessee,,,,,,,,46,452,https://m.rofo.com/TN/Oneida
Twisp,WA,Washington,,,,,,,,46,450,https://m.rofo.com/WA/Twisp
Destrehan,LA,Louisiana,,,,,,,,46,435,https://m.rofo.com/LA/Destrehan
Santee,SC,South Carolina,,,,,,,,46,414,https://m.rofo.com/SC/Santee
Milford,NH,New Hampshire,,,,,,,,45,1207,https://m.rofo.com/NH/Milford
Jenison,MI,Michigan,,,,,,,,45,1158,https://m.rofo.com/MI/Jenison
Greenville,MS,Mississippi,,,,,,,,45,869,https://m.rofo.com/MS/Greenville
Starkville,MS,Mississippi,,,,,,,,45,783,https://m.rofo.com/MS/Starkville
Big Pine Key,FL,Florida,,,,,,,,45,678,https://m.rofo.com/FL/Big-Pine-Key
Beulaville,NC,North Carolina,,,,,,,,45,364,https://m.rofo.com/NC/Beulaville
Brighton,MI,Michigan,,,,,,,,44,4832,https://m.rofo.com/MI/Brighton
Lexington,TN,Tennessee,,,,,,,,44,1986,https://m.rofo.com/TN/Lexington
Chesterton,IN,Indiana,,,,,,,,44,1299,https://m.rofo.com/IN/Chesterton
Freeport,IL,Illinois,,,,,,,,44,1173,https://m.rofo.com/IL/Freeport
Brenham,TX,Texas,,,,,,,,44,1090,https://m.rofo.com/TX/Brenham
Magnolia,AR,Arkansas,,,,,,,,44,1080,https://m.rofo.com/AR/Magnolia
Woodruff,SC,South Carolina,,,,,,,,44,885,https://m.rofo.com/SC/Woodruff
Clio,MI,Michigan,,,,,,,,44,685,https://m.rofo.com/MI/Clio
Scott,LA,Louisiana,,,,,,,,44,681,https://m.rofo.com/LA/Scott
Middlesboro,KY,Kentucky,,,,,,,,44,545,https://m.rofo.com/KY/Middlesboro
Maynardville,TN,Tennessee,,,,,,,,44,504,https://m.rofo.com/TN/Maynardville
Mexico,MO,Missouri,,,,,,,,44,440,https://m.rofo.com/MO/Mexico
Valdosta,GA,Georgia,,,,,,,,43,1761,https://m.rofo.com/GA/Valdosta
Fayetteville,WV,West Virginia,,,,,,,,43,1191,https://m.rofo.com/WV/Fayetteville
Hays,KS,Kansas,,,,,,,,43,1064,https://m.rofo.com/KS/Hays
Sunbury,PA,Pennsylvania,,,,,,,,43,718,https://m.rofo.com/PA/Sunbury
Gardiner,ME,Maine,,,,,,,,43,637,https://m.rofo.com/ME/Gardiner
Connellsville,PA,Pennsylvania,,,,,,,,43,512,https://m.rofo.com/PA/Connellsville
Cochran,GA,Georgia,,,,,,,,43,501,https://m.rofo.com/GA/Cochran
Willows,CA,California,,,,,,,,43,391,https://m.rofo.com/CA/Willows
Roswell,NM,New Mexico,,,,,,,,42,2673,https://m.rofo.com/NM/Roswell
Benton,AR,Arkansas,,,,,,,,42,1399,https://m.rofo.com/AR/Benton
Eaton,CO,Colorado,,,,,,,,42,918,https://m.rofo.com/CO/Eaton
Socorro,NM,New Mexico,,,,,,,,42,640,https://m.rofo.com/NM/Socorro
Gilford,NH,New Hampshire,,,,,,,,42,477,https://m.rofo.com/NH/Gilford
Nashua,NH,New Hampshire,,,,,,,,41,6886,https://m.rofo.com/NH/Nashua
Littleton,NH,New Hampshire,,,,,,,,41,6780,https://m.rofo.com/NH/Littleton
Venice,FL,Florida,,,,,,,,41,3699,https://m.rofo.com/FL/Venice
Dunedin,FL,Florida,,,,,,,,41,3060,https://m.rofo.com/FL/Dunedin
Clarkston,MI,Michigan,,,,,,,,41,1753,https://m.rofo.com/MI/Clarkston
Smithfield,RI,Rhode Island,,,,,,,,41,1715,https://m.rofo.com/RI/Smithfield
Morgan Hill,CA,California,,,,,,,,41,1653,https://m.rofo.com/CA/Morgan-Hill
Phelan,CA,California,,,,,,,,41,1107,https://m.rofo.com/CA/Phelan
Centreville,MD,Maryland,,,,,,,,41,611,https://m.rofo.com/MD/Centreville
Soledad,CA,California,,,,,,,,41,545,https://m.rofo.com/CA/Soledad
Brighton,CO,Colorado,,,,,,,,40,4983,https://m.rofo.com/CO/Brighton
Dover,NH,New Hampshire,,,,,,,,40,3082,https://m.rofo.com/NH/Dover
Muskegon,MI,Michigan,,,,,,,,40,2655,https://m.rofo.com/MI/Muskegon
Haverhill,MA,Massachusetts,,,,,,,,40,1849,https://m.rofo.com/MA/Haverhill
Riverview,FL,Florida,,,,,,,,40,1786,https://m.rofo.com/FL/Riverview
Albany,LA,Louisiana,,,,,,,,40,1337,https://m.rofo.com/LA/Albany
Frankfort,IN,Indiana,,,,,,,,40,820,https://m.rofo.com/IN/Frankfort
Dorr,MI,Michigan,,,,,,,,40,664,https://m.rofo.com/MI/Dorr
Monett,MO,Missouri,,,,,,,,40,524,https://m.rofo.com/MO/Monett
Frankenmuth,MI,Michigan,,,,,,,,40,500,https://m.rofo.com/MI/Frankenmuth
Berryville,AR,Arkansas,,,,,,,,40,377,https://m.rofo.com/AR/Berryville
Bishopville,SC,South Carolina,,,,,,,,40,285,https://m.rofo.com/SC/Bishopville
Sarasota,FL,Florida,,,,,,,,39,12252,https://m.rofo.com/FL/Sarasota
Lutz,FL,Florida,,,,,,,,39,2014,https://m.rofo.com/FL/Lutz
Jamestown,NC,North Carolina,,,,,,,,39,779,https://m.rofo.com/NC/Jamestown
Mooresville,IN,Indiana,,,,,,,,39,776,https://m.rofo.com/IN/Mooresville
Ellsworth,ME,Maine,,,,,,,,39,775,https://m.rofo.com/ME/Ellsworth
Owatonna,MN,Minnesota,,,,,,,,39,707,https://m.rofo.com/MN/Owatonna
Rutherfordton,NC,North Carolina,,,,,,,,39,670,https://m.rofo.com/NC/Rutherfordton
Monticello,IN,Indiana,,,,,,,,39,663,https://m.rofo.com/IN/Monticello
Harriman,TN,Tennessee,,,,,,,,39,661,https://m.rofo.com/TN/Harriman
Collinsville,OK,Oklahoma,,,,,,,,39,584,https://m.rofo.com/OK/Collinsville
Kinston,NC,North Carolina,,,,,,,,38,1012,https://m.rofo.com/NC/Kinston
Bernalillo,NM,New Mexico,,,,,,,,38,942,https://m.rofo.com/NM/Bernalillo
Church Hill,TN,Tennessee,,,,,,,,38,937,https://m.rofo.com/TN/Church-Hill
Gunnison,CO,Colorado,,,,,,,,38,919,https://m.rofo.com/CO/Gunnison
Maysville,KY,Kentucky,,,,,,,,38,797,https://m.rofo.com/KY/Maysville
Burnsville,NC,North Carolina,,,,,,,,38,660,https://m.rofo.com/NC/Burnsville
Douglas,WY,Wyoming,,,,,,,,38,470,https://m.rofo.com/WY/Douglas
Pikeville,TN,Tennessee,,,,,,,,38,398,https://m.rofo.com/TN/Pikeville
Tyrone,PA,Pennsylvania,,,,,,,,38,305,https://m.rofo.com/PA/Tyrone
Bethel,ME,Maine,,,,,,,,38,273,https://m.rofo.com/ME/Bethel
Darien,GA,Georgia,,,,,,,,37,1380,https://m.rofo.com/GA/Darien
Big Bear Lake,CA,California,,,,,,,,37,1226,https://m.rofo.com/CA/Big-Bear-Lake
Madisonville,LA,Louisiana,,,,,,,,37,1124,https://m.rofo.com/LA/Madisonville
Red Bluff,CA,California,,,,,,,,37,981,https://m.rofo.com/CA/Red-Bluff
Kings Mountain,NC,North Carolina,,,,,,,,37,975,https://m.rofo.com/NC/Kings-Mountain
Millbrook,AL,Alabama,,,,,,,,37,830,https://m.rofo.com/AL/Millbrook
Sunset Beach,NC,North Carolina,,,,,,,,37,690,https://m.rofo.com/NC/Sunset-Beach
Newport,NH,New Hampshire,,,,,,,,37,671,https://m.rofo.com/NH/Newport
Marion,AR,Arkansas,,,,,,,,37,612,https://m.rofo.com/AR/Marion
Richfield,UT,Utah,,,,,,,,37,465,https://m.rofo.com/UT/Richfield
Morgantown,KY,Kentucky,,,,,,,,37,463,https://m.rofo.com/KY/Morgantown
Reed City,MI,Michigan,,,,,,,,37,452,https://m.rofo.com/MI/Reed-City
Collins,MS,Mississippi,,,,,,,,37,325,https://m.rofo.com/MS/Collins
Oxford,MI,Michigan,,,,,,,,36,1745,https://m.rofo.com/MI/Oxford
Midland,MI,Michigan,,,,,,,,36,1730,https://m.rofo.com/MI/Midland
Carrollton,KY,Kentucky,,,,,,,,36,1531,https://m.rofo.com/KY/Carrollton
Marshall,MI,Michigan,,,,,,,,36,1208,https://m.rofo.com/MI/Marshall
Brandon,MS,Mississippi,,,,,,,,36,1164,https://m.rofo.com/MS/Brandon
Yarmouth,ME,Maine,,,,,,,,36,1119,https://m.rofo.com/ME/Yarmouth
Bay Minette,AL,Alabama,,,,,,,,36,1108,https://m.rofo.com/AL/Bay-Minette
Benton Harbor,MI,Michigan,,,,,,,,36,1082,https://m.rofo.com/MI/Benton-Harbor
Saugerties,NY,New York,,,,,,,,36,1013,https://m.rofo.com/NY/Saugerties
Asheboro,NC,North Carolina,,,,,,,,36,993,https://m.rofo.com/NC/Asheboro
Charlotte,MI,Michigan,,,,,,,,36,868,https://m.rofo.com/MI/Charlotte
Campbellsville,KY,Kentucky,,,,,,,,36,788,https://m.rofo.com/KY/Campbellsville
Florala,AL,Alabama,,,,,,,,36,693,https://m.rofo.com/AL/Florala
Byhalia,MS,Mississippi,,,,,,,,36,615,https://m.rofo.com/MS/Byhalia
Hamilton,MT,Montana,,,,,,,,36,609,https://m.rofo.com/MT/Hamilton
Decatur,IN,Indiana,,,,,,,,36,276,https://m.rofo.com/IN/Decatur
Long Beach,MS,Mississippi,,,,,,,,35,4296,https://m.rofo.com/MS/Long-Beach
Windsor,CA,California,,,,,,,,35,3865,https://m.rofo.com/CA/Windsor
Franklin,IN,Indiana,,,,,,,,35,3306,https://m.rofo.com/IN/Franklin
Byron Center,MI,Michigan,,,,,,,,35,1567,https://m.rofo.com/MI/Byron-Center
Portage,IN,Indiana,,,,,,,,35,1172,https://m.rofo.com/IN/Portage
Semmes,AL,Alabama,,,,,,,,35,1164,https://m.rofo.com/AL/Semmes
Winthrop,ME,Maine,,,,,,,,35,1034,https://m.rofo.com/ME/Winthrop
Howard City,MI,Michigan,,,,,,,,35,855,https://m.rofo.com/MI/Howard-City
Alton,NH,New Hampshire,,,,,,,,35,801,https://m.rofo.com/NH/Alton
Okatie,SC,South Carolina,,,,,,,,35,727,https://m.rofo.com/SC/Okatie
Petoskey,MI,Michigan,,,,,,,,35,678,https://m.rofo.com/MI/Petoskey
Pikeville,KY,Kentucky,,,,,,,,35,582,https://m.rofo.com/KY/Pikeville
Crestline,CA,California,,,,,,,,35,531,https://m.rofo.com/CA/Crestline
Paradise,CA,California,,,,,,,,35,460,https://m.rofo.com/CA/Paradise
Wartburg,TN,Tennessee,,,,,,,,35,364,https://m.rofo.com/TN/Wartburg
Palm Springs,CA,California,,,,,,,,34,4354,https://m.rofo.com/CA/Palm-Springs
Plymouth,MI,Michigan,,,,,,,,34,3108,https://m.rofo.com/MI/Plymouth
Prairieville,LA,Louisiana,,,,,,,,34,2378,https://m.rofo.com/LA/Prairieville
Denver,NC,North Carolina,,,,,,,,34,1013,https://m.rofo.com/NC/Denver
Clinton,MO,Missouri,,,,,,,,34,861,https://m.rofo.com/MO/Clinton
Tijeras,NM,New Mexico,,,,,,,,34,857,https://m.rofo.com/NM/Tijeras
Ashland City,TN,Tennessee,,,,,,,,34,685,https://m.rofo.com/TN/Ashland-City
Middleville,MI,Michigan,,,,,,,,34,525,https://m.rofo.com/MI/Middleville
Russellville,KY,Kentucky,,,,,,,,34,512,https://m.rofo.com/KY/Russellville
Shelton,WA,Washington,,,,,,,,34,460,https://m.rofo.com/WA/Shelton
Princeton,MN,Minnesota,,,,,,,,34,380,https://m.rofo.com/MN/Princeton
Brooklyn,MI,Michigan,,,,,,,,34,369,https://m.rofo.com/MI/Brooklyn
Powell,WY,Wyoming,,,,,,,,34,310,https://m.rofo.com/WY/Powell
Westmoreland,TN,Tennessee,,,,,,,,34,287,https://m.rofo.com/TN/Westmoreland
Holiday,FL,Florida,,,,,,,,33,1591,https://m.rofo.com/FL/Holiday
Kendallville,IN,Indiana,,,,,,,,33,1100,https://m.rofo.com/IN/Kendallville
Lebanon,OR,Oregon,,,,,,,,33,1088,https://m.rofo.com/OR/Lebanon
Elko,NV,Nevada,,,,,,,,33,981,https://m.rofo.com/NV/Elko
Lowell,IN,Indiana,,,,,,,,33,944,https://m.rofo.com/IN/Lowell
Coopersville,MI,Michigan,,,,,,,,33,907,https://m.rofo.com/MI/Coopersville
Franklin,LA,Louisiana,,,,,,,,33,881,https://m.rofo.com/LA/Franklin
Cullman,AL,Alabama,,,,,,,,33,763,https://m.rofo.com/AL/Cullman
South Pittsburg,TN,Tennessee,,,,,,,,33,674,https://m.rofo.com/TN/South-Pittsburg
Rocky Point,NC,North Carolina,,,,,,,,33,669,https://m.rofo.com/NC/Rocky-Point
Wilton,NH,New Hampshire,,,,,,,,33,657,https://m.rofo.com/NH/Wilton
Skiatook,OK,Oklahoma,,,,,,,,33,495,https://m.rofo.com/OK/Skiatook
Edwards,CO,Colorado,,,,,,,,33,424,https://m.rofo.com/CO/Edwards
Deming,NM,New Mexico,,,,,,,,33,373,https://m.rofo.com/NM/Deming
Tryon,NC,North Carolina,,,,,,,,33,333,https://m.rofo.com/NC/Tryon
Cripple Creek,CO,Colorado,,,,,,,,33,290,https://m.rofo.com/CO/Cripple-Creek
Turner,ME,Maine,,,,,,,,33,256,https://m.rofo.com/ME/Turner
Owego,NY,New York,,,,,,,,32,7571,https://m.rofo.com/NY/Owego
Rochester,NH,New Hampshire,,,,,,,,32,6037,https://m.rofo.com/NH/Rochester
Harvey,LA,Louisiana,,,,,,,,32,1658,https://m.rofo.com/LA/Harvey
Marianna,FL,Florida,,,,,,,,32,1157,https://m.rofo.com/FL/Marianna
Shelbyville,IN,Indiana,,,,,,,,32,1107,https://m.rofo.com/IN/Shelbyville
Jackson,CA,California,,,,,,,,32,964,https://m.rofo.com/CA/Jackson
Parsons,KS,Kansas,,,,,,,,32,774,https://m.rofo.com/KS/Parsons
Blountville,TN,Tennessee,,,,,,,,32,670,https://m.rofo.com/TN/Blountville
Monmouth,OR,Oregon,,,,,,,,32,635,https://m.rofo.com/OR/Monmouth
Peru,IN,Indiana,,,,,,,,32,617,https://m.rofo.com/IN/Peru
Tilton,NH,New Hampshire,,,,,,,,32,603,https://m.rofo.com/NH/Tilton
Rolla,MO,Missouri,,,,,,,,32,535,https://m.rofo.com/MO/Rolla
Auburn,MI,Michigan,,,,,,,,32,451,https://m.rofo.com/MI/Auburn
Coalinga,CA,California,,,,,,,,32,408,https://m.rofo.com/CA/Coalinga
Henniker,NH,New Hampshire,,,,,,,,32,381,https://m.rofo.com/NH/Henniker
Springvale,ME,Maine,,,,,,,,32,163,https://m.rofo.com/ME/Springvale
Santa Rosa,CA,California,,,,,,,,31,25743,https://m.rofo.com/CA/Santa-Rosa
Andover,NH,New Hampshire,,,,,,,,31,2635,https://m.rofo.com/NH/Andover
Clinton,LA,Louisiana,,,,,,,,31,1323,https://m.rofo.com/LA/Clinton
Woodstock,NY,New York,,,,,,,,31,1317,https://m.rofo.com/NY/Woodstock
Lockhart,TX,Texas,,,,,,,,31,1030,https://m.rofo.com/TX/Lockhart
Millsboro,DE,Delaware,,,,,,,,31,904,https://m.rofo.com/DE/Millsboro
Effingham,IL,Illinois,,,,,,,,31,705,https://m.rofo.com/IL/Effingham
Ellenton,FL,Florida,,,,,,,,31,683,https://m.rofo.com/FL/Ellenton
Fort Bragg,CA,California,,,,,,,,31,608,https://m.rofo.com/CA/Fort-Bragg
Lewisburg,WV,West Virginia,,,,,,,,31,546,https://m.rofo.com/WV/Lewisburg
Connersville,IN,Indiana,,,,,,,,31,490,https://m.rofo.com/IN/Connersville
Murphy,NC,North Carolina,,,,,,,,31,484,https://m.rofo.com/NC/Murphy
Corning,CA,California,,,,,,,,31,379,https://m.rofo.com/CA/Corning
Grants,NM,New Mexico,,,,,,,,31,374,https://m.rofo.com/NM/Grants
Waskom,TX,Texas,,,,,,,,31,220,https://m.rofo.com/TX/Waskom
Wilmington,NC,North Carolina,,,,,,,,30,19281,https://m.rofo.com/NC/Wilmington
Sale Creek,TN,Tennessee,,,,,,,,30,2853,https://m.rofo.com/TN/Sale-Creek
Utica,NY,New York,,,,,,,,30,2284,https://m.rofo.com/NY/Utica
Cathedral City,CA,California,,,,,,,,30,2167,https://m.rofo.com/CA/Cathedral-City
Panama City,FL,Florida,,,,,,,,30,1851,https://m.rofo.com/FL/Panama-City
Kokomo,IN,Indiana,,,,,,,,30,1515,https://m.rofo.com/IN/Kokomo
Redford,MI,Michigan,,,,,,,,30,1317,https://m.rofo.com/MI/Redford
Wilson,NC,North Carolina,,,,,,,,30,1243,https://m.rofo.com/NC/Wilson
Salem,IN,Indiana,,,,,,,,30,1135,https://m.rofo.com/IN/Salem
Holly,MI,Michigan,,,,,,,,30,1019,https://m.rofo.com/MI/Holly
Cambria,CA,California,,,,,,,,30,867,https://m.rofo.com/CA/Cambria
Rockville,IN,Indiana,,,,,,,,30,728,https://m.rofo.com/IN/Rockville
Yucca Valley,CA,California,,,,,,,,30,687,https://m.rofo.com/CA/Yucca-Valley
Bastrop,LA,Louisiana,,,,,,,,30,667,https://m.rofo.com/LA/Bastrop
Enfield,NH,New Hampshire,,,,,,,,30,545,https://m.rofo.com/NH/Enfield
Eunice,LA,Louisiana,,,,,,,,30,489,https://m.rofo.com/LA/Eunice
Rockmart,GA,Georgia,,,,,,,,30,440,https://m.rofo.com/GA/Rockmart
Williamsport,MD,Maryland,,,,,,,,30,422,https://m.rofo.com/MD/Williamsport
Monticello,GA,Georgia,,,,,,,,30,387,https://m.rofo.com/GA/Monticello
Four Oaks,NC,North Carolina,,,,,,,,30,287,https://m.rofo.com/NC/Four-Oaks
Winnsboro,LA,Louisiana,,,,,,,,30,283,https://m.rofo.com/LA/Winnsboro
Palo Cedro,CA,California,,,,,,,,29,8491,https://m.rofo.com/CA/Palo-Cedro
Coloma,MI,Michigan,,,,,,,,29,4938,https://m.rofo.com/MI/Coloma
Ruskin,FL,Florida,,,,,,,,29,1287,https://m.rofo.com/FL/Ruskin
Sebastian,FL,Florida,,,,,,,,29,1086,https://m.rofo.com/FL/Sebastian
Hudson,MI,Michigan,,,,,,,,29,1032,https://m.rofo.com/MI/Hudson
Methuen,MA,Massachusetts,,,,,,,,29,936,https://m.rofo.com/MA/Methuen
Kingston,NH,New Hampshire,,,,,,,,29,852,https://m.rofo.com/NH/Kingston
Canon City,CO,Colorado,,,,,,,,29,675,https://m.rofo.com/CO/Canon-City
Waupaca,WI,Wisconsin,,,,,,,,29,525,https://m.rofo.com/WI/Waupaca
Searcy,AR,Arkansas,,,,,,,,29,522,https://m.rofo.com/AR/Searcy
Marinette,WI,Wisconsin,,,,,,,,29,469,https://m.rofo.com/WI/Marinette
Durant,OK,Oklahoma,,,,,,,,29,368,https://m.rofo.com/OK/Durant
Gentry,AR,Arkansas,,,,,,,,29,360,https://m.rofo.com/AR/Gentry
Dillwyn,VA,Virginia,,,,,,,,29,189,https://m.rofo.com/VA/Dillwyn
Castle Rock,CO,Colorado,,,,,,,,28,3701,https://m.rofo.com/CO/Castle-Rock
Loxley,AL,Alabama,,,,,,,,28,1742,https://m.rofo.com/AL/Loxley
Woodland,CA,California,,,,,,,,28,1441,https://m.rofo.com/CA/Woodland
New Smyrna Beach,FL,Florida,,,,,,,,28,1152,https://m.rofo.com/FL/New-Smyrna-Beach
North Platte,NE,Nebraska,,,,,,,,28,641,https://m.rofo.com/NE/North-Platte
Florence,SC,South Carolina,,,,,,,,28,549,https://m.rofo.com/SC/Florence
Opp,AL,Alabama,,,,,,,,28,533,https://m.rofo.com/AL/Opp
Fillmore,CA,California,,,,,,,,28,514,https://m.rofo.com/CA/Fillmore
Saint Martinville,LA,Louisiana,,,,,,,,28,465,https://m.rofo.com/LA/Saint-Martinville
Freeland,MI,Michigan,,,,,,,,28,427,https://m.rofo.com/MI/Freeland
Springhill,LA,Louisiana,,,,,,,,28,416,https://m.rofo.com/LA/Springhill
Gilmer,TX,Texas,,,,,,,,28,357,https://m.rofo.com/TX/Gilmer
Honea Path,SC,South Carolina,,,,,,,,28,331,https://m.rofo.com/SC/Honea-Path
Ripley,MS,Mississippi,,,,,,,,28,258,https://m.rofo.com/MS/Ripley
Lake Lure,NC,North Carolina,,,,,,,,28,256,https://m.rofo.com/NC/Lake-Lure
Presque Isle,ME,Maine,,,,,,,,28,225,https://m.rofo.com/ME/Presque-Isle
Bloomington,IN,Indiana,,,,,,,,27,4862,https://m.rofo.com/IN/Bloomington
Rockford,IL,Illinois,,,,,,,,27,3827,https://m.rofo.com/IL/Rockford
Lincoln,NH,New Hampshire,,,,,,,,27,1200,https://m.rofo.com/NH/Lincoln
Claremont,NH,New Hampshire,,,,,,,,27,716,https://m.rofo.com/NH/Claremont
Jonesboro,LA,Louisiana,,,,,,,,27,587,https://m.rofo.com/LA/Jonesboro
Wisconsin Dells,WI,Wisconsin,,,,,,,,27,522,https://m.rofo.com/WI/Wisconsin-Dells
Kingsland,GA,Georgia,,,,,,,,27,500,https://m.rofo.com/GA/Kingsland
Cuero,TX,Texas,,,,,,,,27,484,https://m.rofo.com/TX/Cuero
Ellenville,NY,New York,,,,,,,,27,474,https://m.rofo.com/NY/Ellenville
Morrilton,AR,Arkansas,,,,,,,,27,355,https://m.rofo.com/AR/Morrilton
Laurinburg,NC,North Carolina,,,,,,,,27,352,https://m.rofo.com/NC/Laurinburg
Bellville,TX,Texas,,,,,,,,27,348,https://m.rofo.com/TX/Bellville
Port Isabel,TX,Texas,,,,,,,,27,316,https://m.rofo.com/TX/Port-Isabel
Mancos,CO,Colorado,,,,,,,,27,207,https://m.rofo.com/CO/Mancos
Jennings,LA,Louisiana,,,,,,,,27,205,https://m.rofo.com/LA/Jennings
Fairfield,CA,California,,,,,,,,26,10638,https://m.rofo.com/CA/Fairfield
Biloxi,MS,Mississippi,,,,,,,,26,2250,https://m.rofo.com/MS/Biloxi
Newton,MS,Mississippi,,,,,,,,26,2116,https://m.rofo.com/MS/Newton
Newport,KY,Kentucky,,,,,,,,26,1880,https://m.rofo.com/KY/Newport
Westbrook,ME,Maine,,,,,,,,26,1556,https://m.rofo.com/ME/Westbrook
Saint John,IN,Indiana,,,,,,,,26,1188,https://m.rofo.com/IN/Saint-John
Sellersburg,IN,Indiana,,,,,,,,26,1148,https://m.rofo.com/IN/Sellersburg
Bunnell,FL,Florida,,,,,,,,26,1069,https://m.rofo.com/FL/Bunnell
Clinton,NY,New York,,,,,,,,26,899,https://m.rofo.com/NY/Clinton
Smithfield,NC,North Carolina,,,,,,,,26,887,https://m.rofo.com/NC/Smithfield
Robertsdale,AL,Alabama,,,,,,,,26,693,https://m.rofo.com/AL/Robertsdale
Bellevue,ID,Idaho,,,,,,,,26,674,https://m.rofo.com/ID/Bellevue
Dewitt,MI,Michigan,,,,,,,,26,667,https://m.rofo.com/MI/Dewitt
Bartlesville,OK,Oklahoma,,,,,,,,26,593,https://m.rofo.com/OK/Bartlesville
Ponca City,OK,Oklahoma,,,,,,,,26,541,https://m.rofo.com/OK/Ponca-City
Oregon,WI,Wisconsin,,,,,,,,26,415,https://m.rofo.com/WI/Oregon
Waynesburg,PA,Pennsylvania,,,,,,,,26,349,https://m.rofo.com/PA/Waynesburg
Purvis,MS,Mississippi,,,,,,,,26,322,https://m.rofo.com/MS/Purvis
Mesilla Park,NM,New Mexico,,,,,,,,26,293,https://m.rofo.com/NM/Mesilla-Park
Ville Platte,LA,Louisiana,,,,,,,,26,236,https://m.rofo.com/LA/Ville-Platte
Ashdown,AR,Arkansas,,,,,,,,26,131,https://m.rofo.com/AR/Ashdown
Indianapolis,IN,Indiana,,,,,,,,25,12674,https://m.rofo.com/IN/Indianapolis
Lincoln,RI,Rhode Island,,,,,,,,25,2752,https://m.rofo.com/RI/Lincoln
Saline,MI,Michigan,,,,,,,,25,1673,https://m.rofo.com/MI/Saline
Windham,ME,Maine,,,,,,,,25,1028,https://m.rofo.com/ME/Windham
Avon Park,FL,Florida,,,,,,,,25,969,https://m.rofo.com/FL/Avon-Park
Frankfort,IL,Illinois,,,,,,,,25,907,https://m.rofo.com/IL/Frankfort
Troy,AL,Alabama,,,,,,,,25,860,https://m.rofo.com/AL/Troy
Chelan,WA,Washington,,,,,,,,25,788,https://m.rofo.com/WA/Chelan
Kennebunk,ME,Maine,,,,,,,,25,729,https://m.rofo.com/ME/Kennebunk
Anamosa,IA,Iowa,,,,,,,,25,633,https://m.rofo.com/IA/Anamosa
Mountain City,TN,Tennessee,,,,,,,,25,630,https://m.rofo.com/TN/Mountain-City
Peru,IL,Illinois,,,,,,,,25,568,https://m.rofo.com/IL/Peru
Corinth,MS,Mississippi,,,,,,,,25,528,https://m.rofo.com/MS/Corinth
Stevensville,MI,Michigan,,,,,,,,25,415,https://m.rofo.com/MI/Stevensville
Smithville,TN,Tennessee,,,,,,,,25,382,https://m.rofo.com/TN/Smithville
Wrightsville Beach,NC,North Carolina,,,,,,,,25,379,https://m.rofo.com/NC/Wrightsville-Beach
Snow Hill,NC,North Carolina,,,,,,,,25,375,https://m.rofo.com/NC/Snow-Hill
Ironwood,MI,Michigan,,,,,,,,25,320,https://m.rofo.com/MI/Ironwood
Abbeville,AL,Alabama,,,,,,,,25,298,https://m.rofo.com/AL/Abbeville
Groveland,MA,Massachusetts,,,,,,,,25,288,https://m.rofo.com/MA/Groveland
Paxton,IL,Illinois,,,,,,,,25,269,https://m.rofo.com/IL/Paxton
Winnebago,IL,Illinois,,,,,,,,25,246,https://m.rofo.com/IL/Winnebago
Thayne,WY,Wyoming,,,,,,,,25,245,https://m.rofo.com/WY/Thayne
Union,SC,South Carolina,,,,,,,,25,178,https://m.rofo.com/SC/Union
Tallahassee,FL,Florida,,,,,,,,24,7175,https://m.rofo.com/FL/Tallahassee
Portsmouth,RI,Rhode Island,,,,,,,,24,2248,https://m.rofo.com/RI/Portsmouth
Swansboro,NC,North Carolina,,,,,,,,24,1258,https://m.rofo.com/NC/Swansboro
Terre Haute,IN,Indiana,,,,,,,,24,1231,https://m.rofo.com/IN/Terre-Haute
Lehigh Acres,FL,Florida,,,,,,,,24,870,https://m.rofo.com/FL/Lehigh-Acres
Leavenworth,WA,Washington,,,,,,,,24,849,https://m.rofo.com/WA/Leavenworth
Charlestown,RI,Rhode Island,,,,,,,,24,620,https://m.rofo.com/RI/Charlestown
Wasco,CA,California,,,,,,,,24,617,https://m.rofo.com/CA/Wasco
Creedmoor,NC,North Carolina,,,,,,,,24,566,https://m.rofo.com/NC/Creedmoor
Robstown,TX,Texas,,,,,,,,24,538,https://m.rofo.com/TX/Robstown
Aztec,NM,New Mexico,,,,,,,,24,478,https://m.rofo.com/NM/Aztec
