city,state_abbr,state,county,metro,lat,lng,building_count,city_description,updated_at,gsc_clicks,gsc_impressions,source_url
Fort Walton Beach,FL,Florida,,,,,,,,97,4372,https://m.rofo.com/FL/Fort-Walton-Beach
Ocean Springs,MS,Mississippi,,,,,,,,97,2851,https://m.rofo.com/MS/Ocean-Springs
Saco,ME,Maine,,,,,,,,97,2801,https://m.rofo.com/ME/Saco
Forest City,NC,North Carolina,,,,,,,,97,2088,https://m.rofo.com/NC/Forest-City
Jesup,GA,Georgia,,,,,,,,97,1265,https://m.rofo.com/GA/Jesup
Concord,NH,New Hampshire,,,,,,,,96,13100,https://m.rofo.com/NH/Concord
Lake Charles,LA,Louisiana,,,,,,,,96,7854,https://m.rofo.com/LA/Lake-Charles
Soddy Daisy,TN,Tennessee,,,,,,,,96,5003,https://m.rofo.com/TN/Soddy-Daisy
Jasper,TN,Tennessee,,,,,,,,96,4181,https://m.rofo.com/TN/Jasper
Hendersonville,NC,North Carolina,,,,,,,,96,2594,https://m.rofo.com/NC/Hendersonville
Radcliff,KY,Kentucky,,,,,,,,96,1950,https://m.rofo.com/KY/Radcliff
Walterboro,SC,South Carolina,,,,,,,,96,1938,https://m.rofo.com/SC/Walterboro
Elizabethton,TN,Tennessee,,,,,,,,95,1961,https://m.rofo.com/TN/Elizabethton
Byram,MS,Mississippi,,,,,,,,95,1886,https://m.rofo.com/MS/Byram
Hampton,NH,New Hampshire,,,,,,,,94,6108,https://m.rofo.com/NH/Hampton
York,ME,Maine,,,,,,,,94,2992,https://m.rofo.com/ME/York
Murrells Inlet,SC,South Carolina,,,,,,,,94,2832,https://m.rofo.com/SC/Murrells-Inlet
Davison,MI,Michigan,,,,,,,,94,1683,https://m.rofo.com/MI/Davison
Goffstown,NH,New Hampshire,,,,,,,,94,1561,https://m.rofo.com/NH/Goffstown
Palmetto,FL,Florida,,,,,,,,91,2834,https://m.rofo.com/FL/Palmetto
Oak Island,NC,North Carolina,,,,,,,,91,1239,https://m.rofo.com/NC/Oak-Island
Cairo,GA,Georgia,,,,,,,,91,1105,https://m.rofo.com/GA/Cairo
Lebanon,NH,New Hampshire,,,,,,,,90,2459,https://m.rofo.com/NH/Lebanon
Clovis,NM,New Mexico,,,,,,,,89,5786,https://m.rofo.com/NM/Clovis
Holland,MI,Michigan,,,,,,,,89,3598,https://m.rofo.com/MI/Holland
Clinton,TN,Tennessee,,,,,,,,89,2104,https://m.rofo.com/TN/Clinton
Jonesborough,TN,Tennessee,,,,,,,,89,1640,https://m.rofo.com/TN/Jonesborough
Thibodaux,LA,Louisiana,,,,,,,,89,1639,https://m.rofo.com/LA/Thibodaux
Pueblo,CO,Colorado,,,,,,,,88,5686,https://m.rofo.com/CO/Pueblo
Bay City,MI,Michigan,,,,,,,,87,3884,https://m.rofo.com/MI/Bay-City
Englewood,FL,Florida,,,,,,,,87,3777,https://m.rofo.com/FL/Englewood
Winchester,KY,Kentucky,,,,,,,,87,2599,https://m.rofo.com/KY/Winchester
Orange Park,FL,Florida,,,,,,,,86,6157,https://m.rofo.com/FL/Orange-Park
Bristol,TN,Tennessee,,,,,,,,86,4280,https://m.rofo.com/TN/Bristol
Ada,MI,Michigan,,,,,,,,86,4185,https://m.rofo.com/MI/Ada
Alamogordo,NM,New Mexico,,,,,,,,86,1371,https://m.rofo.com/NM/Alamogordo
Lexington,NC,North Carolina,,,,,,,,85,5897,https://m.rofo.com/NC/Lexington
Key Largo,FL,Florida,,,,,,,,85,3320,https://m.rofo.com/FL/Key-Largo
Laconia,NH,New Hampshire,,,,,,,,85,2272,https://m.rofo.com/NH/Laconia
Kissimmee,FL,Florida,,,,,,,,84,12302,https://m.rofo.com/FL/Kissimmee
Malvern,AR,Arkansas,,,,,,,,84,2703,https://m.rofo.com/AR/Malvern
Pearl,MS,Mississippi,,,,,,,,84,2547,https://m.rofo.com/MS/Pearl
Florence,OR,Oregon,,,,,,,,84,952,https://m.rofo.com/OR/Florence
Leesville,LA,Louisiana,,,,,,,,83,899,https://m.rofo.com/LA/Leesville
Brentwood,CA,California,,,,,,,,82,7724,https://m.rofo.com/CA/Brentwood
Hixson,TN,Tennessee,,,,,,,,82,4458,https://m.rofo.com/TN/Hixson
Biddeford,ME,Maine,,,,,,,,82,2862,https://m.rofo.com/ME/Biddeford
Loris,SC,South Carolina,,,,,,,,82,1250,https://m.rofo.com/SC/Loris
Loudon,TN,Tennessee,,,,,,,,81,1684,https://m.rofo.com/TN/Loudon
Rifle,CO,Colorado,,,,,,,,81,1377,https://m.rofo.com/CO/Rifle
Signal Mountain,TN,Tennessee,,,,,,,,81,1082,https://m.rofo.com/TN/Signal-Mountain
Arcadia,FL,Florida,,,,,,,,80,2550,https://m.rofo.com/FL/Arcadia
Canton,NC,North Carolina,,,,,,,,80,2216,https://m.rofo.com/NC/Canton
White River Junction,VT,Vermont,,,,,,,,80,1354,https://m.rofo.com/VT/White-River-Junction
Bradenton,FL,Florida,,,,,,,,79,10497,https://m.rofo.com/FL/Bradenton
Camden,AR,Arkansas,,,,,,,,79,2725,https://m.rofo.com/AR/Camden
Londonderry,NH,New Hampshire,,,,,,,,79,2513,https://m.rofo.com/NH/Londonderry
Merrimack,NH,New Hampshire,,,,,,,,78,4224,https://m.rofo.com/NH/Merrimack
Plainfield,IL,Illinois,,,,,,,,78,2992,https://m.rofo.com/IL/Plainfield
Canton,MS,Mississippi,,,,,,,,78,2848,https://m.rofo.com/MS/Canton
Hobbs,NM,New Mexico,,,,,,,,78,1624,https://m.rofo.com/NM/Hobbs
Burley,ID,Idaho,,,,,,,,78,1624,https://m.rofo.com/ID/Burley
Breaux Bridge,LA,Louisiana,,,,,,,,78,1518,https://m.rofo.com/LA/Breaux-Bridge
Hayden,ID,Idaho,,,,,,,,77,2972,https://m.rofo.com/ID/Hayden
Loves Park,IL,Illinois,,,,,,,,77,2044,https://m.rofo.com/IL/Loves-Park
Scottsburg,IN,Indiana,,,,,,,,77,1418,https://m.rofo.com/IN/Scottsburg
Pontotoc,MS,Mississippi,,,,,,,,77,1087,https://m.rofo.com/MS/Pontotoc
Elk Grove,CA,California,,,,,,,,76,21472,https://m.rofo.com/CA/Elk-Grove
Mount Pleasant,MI,Michigan,,,,,,,,76,5241,https://m.rofo.com/MI/Mount-Pleasant
Grand Blanc,MI,Michigan,,,,,,,,76,2292,https://m.rofo.com/MI/Grand-Blanc
Mountain Home,AR,Arkansas,,,,,,,,76,1115,https://m.rofo.com/AR/Mountain-Home
Carencro,LA,Louisiana,,,,,,,,76,1045,https://m.rofo.com/LA/Carencro
Blairsville,GA,Georgia,,,,,,,,76,930,https://m.rofo.com/GA/Blairsville
Blytheville,AR,Arkansas,,,,,,,,76,754,https://m.rofo.com/AR/Blytheville
Hanover,NH,New Hampshire,,,,,,,,75,3142,https://m.rofo.com/NH/Hanover
Richmond Hill,GA,Georgia,,,,,,,,75,2924,https://m.rofo.com/GA/Richmond-Hill
Bath,ME,Maine,,,,,,,,75,1914,https://m.rofo.com/ME/Bath
Newport,TN,Tennessee,,,,,,,,75,1586,https://m.rofo.com/TN/Newport
Dunnellon,FL,Florida,,,,,,,,75,1217,https://m.rofo.com/FL/Dunnellon
Shreveport,LA,Louisiana,,,,,,,,74,19760,https://m.rofo.com/LA/Shreveport
Mandeville,LA,Louisiana,,,,,,,,74,3437,https://m.rofo.com/LA/Mandeville
Clinton,MS,Mississippi,,,,,,,,74,1706,https://m.rofo.com/MS/Clinton
Tecumseh,MI,Michigan,,,,,,,,74,778,https://m.rofo.com/MI/Tecumseh
Yuma,AZ,Arizona,,,,,,,,73,9140,https://m.rofo.com/AZ/Yuma
Middletown,RI,Rhode Island,,,,,,,,73,5477,https://m.rofo.com/RI/Middletown
Gonzales,LA,Louisiana,,,,,,,,73,3043,https://m.rofo.com/LA/Gonzales
Beloit,WI,Wisconsin,,,,,,,,73,2484,https://m.rofo.com/WI/Beloit
Baker,LA,Louisiana,,,,,,,,73,2043,https://m.rofo.com/LA/Baker
Pineville,LA,Louisiana,,,,,,,,73,1379,https://m.rofo.com/LA/Pineville
New Roads,LA,Louisiana,,,,,,,,73,919,https://m.rofo.com/LA/New-Roads
Prattville,AL,Alabama,,,,,,,,72,8894,https://m.rofo.com/AL/Prattville
Indio,CA,California,,,,,,,,72,6026,https://m.rofo.com/CA/Indio
Richmond,KY,Kentucky,,,,,,,,72,2488,https://m.rofo.com/KY/Richmond
Machesney Park,IL,Illinois,,,,,,,,72,1456,https://m.rofo.com/IL/Machesney-Park
Dandridge,TN,Tennessee,,,,,,,,72,1180,https://m.rofo.com/TN/Dandridge
Immokalee,FL,Florida,,,,,,,,72,1141,https://m.rofo.com/FL/Immokalee
Byron,IL,Illinois,,,,,,,,72,991,https://m.rofo.com/IL/Byron
Covington,LA,Louisiana,,,,,,,,71,3739,https://m.rofo.com/LA/Covington
Coventry,RI,Rhode Island,,,,,,,,71,3051,https://m.rofo.com/RI/Coventry
Exeter,NH,New Hampshire,,,,,,,,71,2561,https://m.rofo.com/NH/Exeter
Prospect,KY,Kentucky,,,,,,,,71,2376,https://m.rofo.com/KY/Prospect
West Memphis,AR,Arkansas,,,,,,,,71,2152,https://m.rofo.com/AR/West-Memphis
Roscoe,IL,Illinois,,,,,,,,71,1711,https://m.rofo.com/IL/Roscoe
Sturgeon Bay,WI,Wisconsin,,,,,,,,71,1285,https://m.rofo.com/WI/Sturgeon-Bay
Metairie,LA,Louisiana,,,,,,,,70,9748,https://m.rofo.com/LA/Metairie
Hilton Head Island,SC,South Carolina,,,,,,,,70,2537,https://m.rofo.com/SC/Hilton-Head-Island
Grosse Pointe,MI,Michigan,,,,,,,,70,1868,https://m.rofo.com/MI/Grosse-Pointe
Sedalia,MO,Missouri,,,,,,,,70,1784,https://m.rofo.com/MO/Sedalia
