# Duplicate, suite, and campus review

Suite observations and ambiguous campuses are never auto-promoted as buildings.

| Market | Property | Municipality | Conflicts | Legacy IDs |
| san-francisco | 111 wet portal ave | San Francisco | MULTIPLE_LEGACY_IDS | 1747516, 1760047, 1880228, 1762133, 1764575, 1766979, 1769541, 1789753, 1821836, 1833146, 1867345, 1905023, 1931214 |
| san-francisco | 1130 market st | San Francisco | MULTIPLE_LEGACY_IDS | 1049167, 1100879 |
| san-francisco | 1130 post st | San Francisco | MULTIPLE_LEGACY_IDS | 40092, 162098 |
| san-francisco | 1133 market st | San Francisco | MULTIPLE_LEGACY_IDS | 40115, 1720761 |
| san-francisco | 1145 market st | San Francisco | MULTIPLE_LEGACY_IDS | 40218, 108120, 1718074 |
| san-francisco | 115 sansome st | San Francisco | MULTIPLE_LEGACY_IDS | 40251, 159318 |
| san-francisco | 1150 harrison st | San Francisco | MULTIPLE_LEGACY_IDS | 635938, 624265 |
| san-francisco | 1151 mission st | San Francisco | MULTIPLE_LEGACY_IDS | 40292, 1718075 |
| san-francisco | 1155 4th st | San Francisco | MULTIPLE_LEGACY_IDS | 1992479, 2054238 |
| san-francisco | 116 118 roscoe st | San Francisco | MULTIPLE_LEGACY_IDS | 1738438, 1750402, 1727624 |
| san-francisco | 116 new montgomery st | San Francisco | MULTIPLE_LEGACY_IDS | 109883, 263147 |
| san-francisco | 116 roscoe st | San Francisco | MULTIPLE_LEGACY_IDS | 1176165, 1161301 |
| san-francisco | 1160 battery st e | San Francisco | MULTIPLE_LEGACY_IDS | 2170543, 1969368, 1843763, 1844122, 1855493, 1867670, 1905169, 1917663, 1930924, 1843615 |
| san-francisco | 1160 mission st | San Francisco | MULTIPLE_LEGACY_IDS | 153228, 159391 |
| san-francisco | 1163 bush st | San Francisco | MULTIPLE_LEGACY_IDS | 40371, 283582, 288071 |
| san-francisco | 117 post st | San Francisco | MULTIPLE_LEGACY_IDS | 40404, 153124 |
| san-francisco | 117 sutro heights ave | San Francisco | MULTIPLE_LEGACY_IDS | 158498, 158502 |
| san-francisco | 1177 california | San Francisco | SUITE_BUILDING_AMBIGUITY | 681215 |
| san-francisco | 1177 california st | San Francisco | MULTIPLE_LEGACY_IDS | 40446, 158463 |
| san-francisco | 118 2nd st | San Francisco | MULTIPLE_LEGACY_IDS | 212275, 558876 |
| san-francisco | 118 king st | San Francisco | MULTIPLE_LEGACY_IDS | 288347, 302526, 327439 |
| san-francisco | 1184 harrison st | San Francisco | MULTIPLE_LEGACY_IDS | 40484, 1308058 |
| san-francisco | 1186 folsom st | San Francisco | MULTIPLE_LEGACY_IDS | 1619175, 1628765 |
