Municipality conflicts — ranked review queue

Every listed record remains blocked from target-city geography promotion. Classification covers all 2442 conflicts; this concise queue shows up to 50 per pilot.

| Market | Property | Municipality | Classification | Promotion blocked | Legacy IDs |
| indianapolis | 0 metropolis pkwy | Plainfield | MARKET_LABEL_TOO_BROAD | true | 242595 |
| indianapolis | 0 w washington | Plainfield | MARKET_LABEL_TOO_BROAD | true | 171630 |
| indianapolis | 000 gibbs rd | Plainfield | MARKET_LABEL_TOO_BROAD | true | 655931 |
| indianapolis | 10151 old national rd | Plainfield | MARKET_LABEL_TOO_BROAD | true | 289895, 302902, 340145, 353055, 366645, 386976, 405257, 429723, 446803, 463298 |
| indianapolis | 1050 w main st | Plainfield | MARKET_LABEL_TOO_BROAD | true | 186887 |
| indianapolis | 1051 perry rd | Plainfield | MARKET_LABEL_TOO_BROAD | true | 463386 |
| indianapolis | 1399 perry rd | Plainfield | MARKET_LABEL_TOO_BROAD | true | 1205876, 1719262, 1470802, 1256111 |
| indianapolis | 1570 perry rd | Plainfield | MARKET_LABEL_TOO_BROAD | true | 266689 |
| indianapolis | 160 plainfield commons dr | Plainfield | MARKET_LABEL_TOO_BROAD | true | 406441 |
| indianapolis | 160 plainfield village dr | Plainfield | MARKET_LABEL_TOO_BROAD | true | 315929, 353876, 388300, 328867, 340799, 367458 |
| indianapolis | 1735 e main st | Plainfield | MARKET_LABEL_TOO_BROAD | true | 303759, 292256 |
| indianapolis | 1805 e main st | Plainfield | MARKET_LABEL_TOO_BROAD | true | 431122 |
| indianapolis | 1903 1925 crown plaza blvd | Plainfield | MARKET_LABEL_TOO_BROAD | true | 248961 |
| indianapolis | 198 e buchanan st | Plainfield | MARKET_LABEL_TOO_BROAD | true | 206066 |
| indianapolis | 2151 airwest blvd | Plainfield | MARKET_LABEL_TOO_BROAD | true | 560845 |
| indianapolis | 2155 stafford rd | Plainfield | MARKET_LABEL_TOO_BROAD | true | 498706 |
| indianapolis | 2183 stanley rd | Plainfield | MARKET_LABEL_TOO_BROAD | true | 182479 |
| indianapolis | 2201 reeves rd | Plainfield | MARKET_LABEL_TOO_BROAD | true | 293347, 304890 |
| indianapolis | 2224 perry rd | Plainfield | MARKET_LABEL_TOO_BROAD | true | 612795 |
| indianapolis | 2230 stafford rd | Plainfield | MARKET_LABEL_TOO_BROAD | true | 583050 |
| indianapolis | 2235 e main st | Plainfield | MARKET_LABEL_TOO_BROAD | true | 210772 |
| indianapolis | 2260 e main st | Plainfield | MARKET_LABEL_TOO_BROAD | true | 223721 |
| indianapolis | 2300 e main st | Plainfield | MARKET_LABEL_TOO_BROAD | true | 257296 |
| indianapolis | 2301 reeves rd | Plainfield | MARKET_LABEL_TOO_BROAD | true | 293517, 305071 |
| indianapolis | 2363 perry rd | Plainfield | MARKET_LABEL_TOO_BROAD | true | 431893 |
| indianapolis | 238 n vine st | Plainfield | MARKET_LABEL_TOO_BROAD | true | 407647, 431910 |
| indianapolis | 2425 e main st | Plainfield | MARKET_LABEL_TOO_BROAD | true | 257556 |
| indianapolis | 2437 e main st | Plainfield | MARKET_LABEL_TOO_BROAD | true | 258640 |
| indianapolis | 2450 stanley rd | Plainfield | MARKET_LABEL_TOO_BROAD | true | 293791, 305362, 316691 |
| indianapolis | 2551 commercial dr | Plainfield | MARKET_LABEL_TOO_BROAD | true | 247406 |
| indianapolis | 2601 metropolis pkwy | Plainfield | MARKET_LABEL_TOO_BROAD | true | 225006 |
| indianapolis | 2657 e main st | Plainfield | MARKET_LABEL_TOO_BROAD | true | 181458 |
| indianapolis | 267 stafford rd | Plainfield | MARKET_LABEL_TOO_BROAD | true | 171282, 203460 |
| indianapolis | 2680 e main st | Plainfield | MARKET_LABEL_TOO_BROAD | true | 294113, 305702, 317056 |
| indianapolis | 2707 e main st | Plainfield | MARKET_LABEL_TOO_BROAD | true | 207100 |
| indianapolis | 2708 e main st | Plainfield | MARKET_LABEL_TOO_BROAD | true | 317114 |
| indianapolis | 2733 e main st | Plainfield | MARKET_LABEL_TOO_BROAD | true | 202071 |
| indianapolis | 2760 e main st | Plainfield | MARKET_LABEL_TOO_BROAD | true | 1245017, 1262608, 1522324 |
| indianapolis | 2800 2812 airwest blvd | Plainfield | MARKET_LABEL_TOO_BROAD | true | 294270, 305878 |
| indianapolis | 2800 airwest blvd | Plainfield | MARKET_LABEL_TOO_BROAD | true | 368517, 329896, 341638, 317249, 354956 |
| indianapolis | 2907 e main st | Plainfield | MARKET_LABEL_TOO_BROAD | true | 165937 |
| indianapolis | 2916 e main st | Plainfield | MARKET_LABEL_TOO_BROAD | true | 919314, 929042 |
| indianapolis | 3090 w washington st | Plainfield | MARKET_LABEL_TOO_BROAD | true | 190509 |
| indianapolis | 3115 e main st | Plainfield | MARKET_LABEL_TOO_BROAD | true | 450662, 466665 |
| indianapolis | 3603 clarks creek rd | Plainfield | MARKET_LABEL_TOO_BROAD | true | 198379 |
| indianapolis | 3640 clarks creek rd | Plainfield | MARKET_LABEL_TOO_BROAD | true | 198459 |
| indianapolis | 3658 60 shady ln | Plainfield | MARKET_LABEL_TOO_BROAD | true | 240593 |
| indianapolis | 3658 shady ln | Plainfield | MARKET_LABEL_TOO_BROAD | true | 206448 |
| indianapolis | 3730 shady ln | Plainfield | MARKET_LABEL_TOO_BROAD | true | 451622, 467663 |
| denver-aurora | 10001 e 102nd ave | Commerce City | MARKET_LABEL_TOO_BROAD | true | 1618039 |
| denver-aurora | 10229 richfield st | Commerce City | MARKET_LABEL_TOO_BROAD | true | 664005 |
| denver-aurora | 10230 chambers rd | Commerce City | MARKET_LABEL_TOO_BROAD | true | 2060297 |
| denver-aurora | 104th and chambers | Commerce City | MARKET_LABEL_TOO_BROAD | true | 422697 |
| denver-aurora | 10790 unity pkwy | Commerce City | MARKET_LABEL_TOO_BROAD | true | 670113 |
| denver-aurora | 11329 tower rd | Commerce City | MARKET_LABEL_TOO_BROAD | true | 2122054 |
| denver-aurora | 11955 11965 tower rd | Commerce City | MARKET_LABEL_TOO_BROAD | true | 2112199, 2122132, 2127538, 2130465, 2133537, 2136576, 2139455, 2142798, 2145669, 2148605, 2151457, 2154548, 2157501, 2160077 |
| denver-aurora | 12951 e 107th ave | Commerce City | MARKET_LABEL_TOO_BROAD | true | 691409 |
| denver-aurora | 13400 harvest rd | Commerce City | MARKET_LABEL_TOO_BROAD | true | 400060 |
| denver-aurora | 13551 13659 e 104th ave | Commerce City | MARKET_LABEL_TOO_BROAD | true | 1658641 |
| denver-aurora | 13575 e 104th ave | Commerce City | MARKET_LABEL_TOO_BROAD | true | 1669408 |
| denver-aurora | 13599 e 104th ave | Commerce City | MARKET_LABEL_TOO_BROAD | true | 1669409 |
| denver-aurora | 13659 e 104th ave | Commerce City | MARKET_LABEL_TOO_BROAD | true | 1669410 |
| denver-aurora | 15209 e 103rd pl | Commerce City | MARKET_LABEL_TOO_BROAD | true | 1407166, 1429418 |
| denver-aurora | 15401 e 120th ave | Commerce City | MARKET_LABEL_TOO_BROAD | true | 1609274 |
| denver-aurora | 15549 e 120th ave | Commerce City | MARKET_LABEL_TOO_BROAD | true | 1392684, 1412076 |
| denver-aurora | 16981 e 112th ave | Commerce City | MARKET_LABEL_TOO_BROAD | true | 2069836 |
| denver-aurora | 17060 e 95th ave | Commerce City | MARKET_LABEL_TOO_BROAD | true | 718571 |
| denver-aurora | 18335 e 103rd ave | Commerce City | MARKET_LABEL_TOO_BROAD | true | 167838 |
| denver-aurora | 3700 e 68th ave | Commerce City | MARKET_LABEL_TOO_BROAD | true | 1501796, 1524523 |
| denver-aurora | 3975 e 56th ave | Commerce City | MARKET_LABEL_TOO_BROAD | true | 381121 |
| denver-aurora | 4241 e 64th ave | Commerce City | MARKET_LABEL_TOO_BROAD | true | 1887188, 1899761, 1912366, 1925349, 1939003, 1964095, 1986666, 2000596, 2015199, 2029154, 2042269, 1952562 |
| denver-aurora | 4404 e 60th ave | Commerce City | MARKET_LABEL_TOO_BROAD | true | 265695 |
| denver-aurora | 4545 e 60th ave | Commerce City | MARKET_LABEL_TOO_BROAD | true | 532950, 555024, 577169 |
| denver-aurora | 4835 monaco st | Commerce City | MARKET_LABEL_TOO_BROAD | true | 265696 |
| denver-aurora | 4870 olive st | Commerce City | MARKET_LABEL_TOO_BROAD | true | 1426944, 1449949 |
| denver-aurora | 4900 monaco st commerce city | Commerce City | MARKET_LABEL_TOO_BROAD | true | 237046 |
| denver-aurora | 4940 monaco st | Commerce City | MARKET_LABEL_TOO_BROAD | true | 1159959, 1206508, 1325847 |
| denver-aurora | 4940 niagara st commerce city | Commerce City | MARKET_LABEL_TOO_BROAD | true | 237083 |
| denver-aurora | 4950 4960 niagara st | Commerce City | MARKET_LABEL_TOO_BROAD | true | 1732412, 1743183, 1755192 |
| denver-aurora | 4950 niagara st | Commerce City | MARKET_LABEL_TOO_BROAD | true | 921103, 930853 |
| denver-aurora | 4950 oneida st | Commerce City | MARKET_LABEL_TOO_BROAD | true | 626274, 638965 |
