Redirect classification
=======================
GOOD_CONTEXT_REDIRECT | https://www.rofo.com/commercial-real-estate/building/AZ/Phoenix/824-E-Washington-St-1151590.html | no canonical destination
GOOD_CONTEXT_REDIRECT | https://www.rofo.com/commercial-real-estate/building/AZ/Phoenix/845-N-4th-Ave-923027.html | no canonical destination
GOOD_CONTEXT_REDIRECT | https://www.rofo.com/commercial-real-estate/building/AZ/Phoenix/9515-W-Camelback-Rd-534943.html | no canonical destination
GOOD_CONTEXT_REDIRECT | https://www.rofo.com/commercial-real-estate/building/AZ/Scottsdale/4921-E-Bell-Rd-428636.html | no canonical destination
GOOD_CONTEXT_REDIRECT | https://www.rofo.com/commercial-real-estate/building/AZ/Scottsdale/8591-E-Bell-Rd-1138066.html | no canonical destination
GOOD_CONTEXT_REDIRECT | https://www.rofo.com/commercial-real-estate/building/AZ/Surprise/15331-W-Bell-Rd-425649.html | no canonical destination
GOOD_CONTEXT_REDIRECT | https://www.rofo.com/commercial-real-estate/building/AZ/Tempe/3910-S-Rural-Rd-1524892.html | no canonical destination
GOOD_CONTEXT_REDIRECT | https://www.rofo.com/commercial-real-estate/building/AZ/Tucson/15615-N-Oracle-Rd-1554375.html | no canonical destination
GOOD_CONTEXT_REDIRECT | https://www.rofo.com/commercial-real-estate/building/CA/Apple-Valley/16209-Kamana-Rd-1368910.html | no canonical destination
GOOD_CONTEXT_REDIRECT | https://www.rofo.com/commercial-real-estate/building/CA/Burlingame/851-Burlway-Rd-129201.html | no canonical destination
GOOD_CONTEXT_REDIRECT | https://www.rofo.com/commercial-real-estate/building/CA/Campbell/1671-Dell-Ave-1163056.html | no canonical destination
GOOD_CONTEXT_REDIRECT | https://www.rofo.com/commercial-real-estate/building/CA/Campbell/1671-Dell-Ave-1518779.html | no canonical destination
GOOD_CONTEXT_REDIRECT | https://www.rofo.com/commercial-real-estate/building/CA/Castaic/31905-Castaic-Rd-532021.html | no canonical destination
GOOD_CONTEXT_REDIRECT | https://www.rofo.com/commercial-real-estate/building/CA/Claremont/201-N-Indian-Hill-Blvd-1367590.html | no canonical destination
GOOD_CONTEXT_REDIRECT | https://www.rofo.com/commercial-real-estate/building/CA/Colton/1023-S-Mt-Vernon-Ave-1160618.html | no canonical destination
GOOD_CONTEXT_REDIRECT | https://www.rofo.com/commercial-real-estate/building/CA/Colton/1750-San-Bernardino-Ave-1294737.html | no canonical destination
GOOD_CONTEXT_REDIRECT | https://www.rofo.com/commercial-real-estate/building/CA/Concord/2151-Salvio-St-128089.html | no canonical destination
GOOD_CONTEXT_REDIRECT | https://www.rofo.com/commercial-real-estate/building/CA/Corona/1101-California-Ave-1618921.html | no canonical destination
GOOD_CONTEXT_REDIRECT | https://www.rofo.com/commercial-real-estate/building/CA/Diamond-Bar/3230-Fallow-Field-Dr-423223.html | no canonical destination
GOOD_CONTEXT_REDIRECT | https://www.rofo.com/commercial-real-estate/building/CA/El-Cajon/338-W-Lexington-Ave-1213941.html | no canonical destination
GOOD_CONTEXT_REDIRECT | https://www.rofo.com/commercial-real-estate/building/CA/Fresno/1228-P-St-1027497.html | no canonical destination
GOOD_CONTEXT_REDIRECT | https://www.rofo.com/commercial-real-estate/building/CA/Fresno/4747-N-1st-St-920999.html | no canonical destination
GOOD_CONTEXT_REDIRECT | https://www.rofo.com/commercial-real-estate/building/CA/Fresno/5100-N-6th-St-1592771.html | no canonical destination
GOOD_CONTEXT_REDIRECT | https://www.rofo.com/commercial-real-estate/building/CA/Fresno/552-N-Fulton-St-1083712.html | no canonical destination
GOOD_CONTEXT_REDIRECT | https://www.rofo.com/commercial-real-estate/building/CA/Fresno/552-N-Fulton-St-1527471.html | no canonical destination
GOOD_CONTEXT_REDIRECT | https://www.rofo.com/commercial-real-estate/building/CA/Glendale/1809-Verdugo-Blvd-1563405.html | no canonical destination
GOOD_CONTEXT_REDIRECT | https://www.rofo.com/commercial-real-estate/building/CA/Grass-Valley/139-Joerschke-Dr-1660270.html | no canonical destination
GOOD_CONTEXT_REDIRECT | https://www.rofo.com/commercial-real-estate/building/CA/Grass-Valley/360-Crown-Point-Cir-532343.html | no canonical destination
GOOD_CONTEXT_REDIRECT | https://www.rofo.com/commercial-real-estate/building/CA/Grass-Valley/471-Sutton-Way-270983.html | no canonical destination
GOOD_CONTEXT_REDIRECT | https://www.rofo.com/commercial-real-estate/building/CA/Hanford/13400-Hanford-Armona-Rd-1691089.html | no canonical destination
GOOD_CONTEXT_REDIRECT | https://www.rofo.com/commercial-real-estate/building/CA/Hanford/530-Kings-County-Dr-138721.html | no canonical destination
GOOD_CONTEXT_REDIRECT | https://www.rofo.com/commercial-real-estate/building/CA/Hemet/736-N-State-St-1218521.html | no canonical destination
GOOD_CONTEXT_REDIRECT | https://www.rofo.com/commercial-real-estate/building/CA/Inglewood/1301-N-La-Brea-Ave-529518.html | no canonical destination
GOOD_CONTEXT_REDIRECT | https://www.rofo.com/commercial-real-estate/building/CA/Lemoore/210-Heinlen-St-1590226.html | no canonical destination
GOOD_CONTEXT_REDIRECT | https://www.rofo.com/commercial-real-estate/building/CA/Los-Alamitos/3771-Katella-Ave-610091.html | no canonical destination
GOOD_CONTEXT_REDIRECT | https://www.rofo.com/commercial-real-estate/building/CA/Los-Angeles/12016-Wilshire-Blvd-916400.html | no canonical destination
GOOD_CONTEXT_REDIRECT | https://www.rofo.com/commercial-real-estate/building/CA/Los-Angeles/12100-Wilshire-Blvd-1703632.html | /commercial-real-estate/building/CA/los-angeles/12100-wilshire-blvd/
GOOD_DIRECT_REDIRECT | https://www.rofo.com/commercial-real-estate/building/CA/Los-Angeles/7462-N-Figueroa-St-534247.html | /commercial-real-estate/building/CA/los-angeles/7462-n-figueroa-st/
GOOD_CONTEXT_REDIRECT | https://www.rofo.com/commercial-real-estate/building/CA/Mountain-View/2560-Wyandotte-St-1581382.html | no canonical destination
GOOD_CONTEXT_REDIRECT | https://www.rofo.com/commercial-real-estate/building/CA/Novato/7595-Redwood-Blvd-922643.html | no canonical destination
GOOD_CONTEXT_REDIRECT | https://www.rofo.com/commercial-real-estate/building/CA/Novato/7599-Redwood-Blvd-1709940.html | no canonical destination
GOOD_CONTEXT_REDIRECT | https://www.rofo.com/commercial-real-estate/building/CA/Novato/845-Olive-Ave-1710308.html | no canonical destination
GOOD_CONTEXT_REDIRECT | https://www.rofo.com/commercial-real-estate/building/CA/Oakland/1404-Franklin-St-37650.html | no canonical destination
GOOD_CONTEXT_REDIRECT | https://www.rofo.com/commercial-real-estate/building/CA/Ontario/1804-E-Elma-Ct-141974.html | no canonical destination
GOOD_CONTEXT_REDIRECT | https://www.rofo.com/commercial-real-estate/building/CA/Orange/123-N-Olive-St-916510.html | no canonical destination
GOOD_CONTEXT_REDIRECT | https://www.rofo.com/commercial-real-estate/building/CA/Orange/128-E-Katella-Ave-1027600.html | no canonical destination
GOOD_CONTEXT_REDIRECT | https://www.rofo.com/commercial-real-estate/building/CA/Pasadena/185-N-Hill-Ave-609220.html | no canonical destination
GOOD_CONTEXT_REDIRECT | https://www.rofo.com/commercial-real-estate/building/CA/Pasadena/2828-E-Foothill-Blvd-609744.html | no canonical destination
GOOD_CONTEXT_REDIRECT | https://www.rofo.com/commercial-real-estate/building/CA/Pasadena/51-W-Dayton-St-533255.html | no canonical destination
GOOD_CONTEXT_REDIRECT | https://www.rofo.com/commercial-real-estate/building/CA/Perris/23120-Old-Oleander-Ave-164784.html | no canonical destination
GOOD_CONTEXT_REDIRECT | https://www.rofo.com/commercial-real-estate/building/CA/Pomona/101-W-Mission-Blvd-1076854.html | no canonical destination
GOOD_CONTEXT_REDIRECT | https://www.rofo.com/commercial-real-estate/building/CA/Pomona/101-W-Mission-Blvd-1515293.html | no canonical destination
GOOD_CONTEXT_REDIRECT | https://www.rofo.com/commercial-real-estate/building/CA/Porterville/375-N-Main-St-1538861.html | no canonical destination
GOOD_CONTEXT_REDIRECT | https://www.rofo.com/commercial-real-estate/building/CA/Porterville/75-W-Olive-Ave-534257.html | no canonical destination
GOOD_CONTEXT_REDIRECT | https://www.rofo.com/commercial-real-estate/building/CA/Reedley/1202-G-St-529299.html | no canonical destination
GOOD_CONTEXT_REDIRECT | https://www.rofo.com/commercial-real-estate/building/CA/Rialto/135-W-Rialto-Ave-1039067.html | no canonical destination
GOOD_DIRECT_REDIRECT | https://www.rofo.com/commercial-real-estate/building/CA/Sacramento/2255-Watt-Ave-129041.html | /commercial-real-estate/building/CA/sacramento/2255-watt-ave/
GOOD_DIRECT_REDIRECT | https://www.rofo.com/commercial-real-estate/building/CA/Sacramento/7248-S-Land-Park-Dr-163335.html | /commercial-real-estate/building/CA/sacramento/7248-s-land-park-dr/
