Media-rights review

Property credibility and media rights are independent. No historical imagery is reusable by default.

| Market | Geography | Representative | Status | Media |
| sacramento | northgate-north-market-industrial | Northgate / North Market Industrial Environment | REPRESENTATIVE_ENVIRONMENT | RIGHTS_UNKNOWN |
| indianapolis | indianapolis-airport-logistics | 4557 W Bradbury Avenue | REVIEWED_REPRESENTATIVE | RIGHTS_UNKNOWN |
| indianapolis | park-100-northwest-indianapolis | 7601 Winton Drive | REVIEWED_REPRESENTATIVE | RIGHTS_UNKNOWN |
| indianapolis | indianapolis-airport-logistics | Park Fletcher / Stout Field Industrial Environment | REPRESENTATIVE_ENVIRONMENT | RIGHTS_UNKNOWN |
| indianapolis | park-100-northwest-indianapolis | Park 100 Multi-Tenant Industrial/Flex Environment | REPRESENTATIVE_ENVIRONMENT | RIGHTS_UNKNOWN |
| denver-aurora | den-ballpark | 2301 Blake St | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| denver-aurora | den-central-business-district | 1600 Broadway | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| denver-aurora | den-central-business-district | 1700 Lincoln St | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| denver-aurora | den-central-business-district | 999 18th St | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| denver-aurora | den-cherry-creek | 205 Detroit St | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| denver-aurora | den-cherry-creek | 250 Fillmore St | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| denver-aurora | den-denver-tech-center | 4600 S Syracuse St | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| denver-aurora | den-denver-tech-center | 4643 S Ulster St | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| denver-aurora | den-denver-tech-center | 7900 E Union Ave | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| denver-aurora | den-lodo | 1200 17th St | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| denver-aurora | den-lodo | 1550 Wewatta St | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| denver-aurora | den-sun-valley | 2536 W Barberry Pl | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| denver-aurora | den-sun-valley | 2540 W Barberry Pl | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| denver-aurora | den-sun-valley | 2550 W Barberry Pl | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| denver-aurora | den-sun-valley | 2556 W Barberry Pl | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| denver-aurora | den-sun-valley | 2560 W Barberry Pl | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| orlando | orlando-downtown-south-industrial-candidate | 618 E South St | NOT_REPRESENTATIVE | RIGHTS_UNKNOWN |
| east-bay | oak-downtown-oakland | 1300 Broadway | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| east-bay | oak-downtown-oakland | 1300 Clay St | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| east-bay | oak-downtown-oakland | 1333 Broadway | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| east-bay | oak-downtown-oakland | 1440 Broadway | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
