Future public-use review

Nothing in this report is published.

| Market | Property | Status | Media |
| denver-aurora | 1700 Lincoln St | NEEDS_PUBLIC_EVIDENCE | RIGHTS_UNKNOWN |
| denver-aurora | 999 18th St | NEEDS_PUBLIC_EVIDENCE | RIGHTS_UNKNOWN |
| denver-aurora | 205 Detroit St | NEEDS_PUBLIC_EVIDENCE | RIGHTS_UNKNOWN |
| denver-aurora | 250 Fillmore St | NEEDS_PUBLIC_EVIDENCE | RIGHTS_UNKNOWN |
| denver-aurora | 4600 S Syracuse St | NEEDS_PUBLIC_EVIDENCE | RIGHTS_UNKNOWN |
| denver-aurora | 4643 S Ulster St | NEEDS_PUBLIC_EVIDENCE | RIGHTS_UNKNOWN |
| denver-aurora | 7900 E Union Ave | NEEDS_PUBLIC_EVIDENCE | RIGHTS_UNKNOWN |
| denver-aurora | 1200 17th St | NEEDS_PUBLIC_EVIDENCE | RIGHTS_UNKNOWN |
| denver-aurora | 1550 Wewatta St | NEEDS_PUBLIC_EVIDENCE | RIGHTS_UNKNOWN |
| denver-aurora | 2536 W Barberry Pl | NEEDS_PUBLIC_EVIDENCE | RIGHTS_UNKNOWN |
| denver-aurora | 2540 W Barberry Pl | NEEDS_PUBLIC_EVIDENCE | RIGHTS_UNKNOWN |
| denver-aurora | 2550 W Barberry Pl | NEEDS_PUBLIC_EVIDENCE | RIGHTS_UNKNOWN |
| denver-aurora | 2556 W Barberry Pl | NEEDS_PUBLIC_EVIDENCE | RIGHTS_UNKNOWN |
| denver-aurora | 2560 W Barberry Pl | NEEDS_PUBLIC_EVIDENCE | RIGHTS_UNKNOWN |
| east-bay | 1300 Broadway | NEEDS_PUBLIC_EVIDENCE | RIGHTS_UNKNOWN |
| east-bay | 1300 Clay St | NEEDS_PUBLIC_EVIDENCE | RIGHTS_UNKNOWN |
| east-bay | 1333 Broadway | NEEDS_PUBLIC_EVIDENCE | RIGHTS_UNKNOWN |
| east-bay | 1440 Broadway | NEEDS_PUBLIC_EVIDENCE | RIGHTS_UNKNOWN |
| east-bay | 1814 Franklin St | NEEDS_PUBLIC_EVIDENCE | RIGHTS_UNKNOWN |
| east-bay | 300 Frank H Ogawa Plz | NEEDS_PUBLIC_EVIDENCE | RIGHTS_UNKNOWN |
| east-bay | 505 14th St | NEEDS_PUBLIC_EVIDENCE | RIGHTS_UNKNOWN |
| east-bay | 610 16th St | NEEDS_PUBLIC_EVIDENCE | RIGHTS_UNKNOWN |
| east-bay | 66 Franklin St | NEEDS_PUBLIC_EVIDENCE | RIGHTS_UNKNOWN |
| east-bay | 1111 Broadway | NEEDS_PUBLIC_EVIDENCE | RIGHTS_UNKNOWN |
| east-bay | 1221 Broadway | NEEDS_PUBLIC_EVIDENCE | RIGHTS_UNKNOWN |
| east-bay | 1 Kaiser Plz | NEEDS_PUBLIC_EVIDENCE | RIGHTS_UNKNOWN |
| east-bay | 1901 Harrison St | NEEDS_PUBLIC_EVIDENCE | RIGHTS_UNKNOWN |
| east-bay | 1970 Broadway | NEEDS_PUBLIC_EVIDENCE | RIGHTS_UNKNOWN |
| east-bay | 2100 Franklin St | NEEDS_PUBLIC_EVIDENCE | RIGHTS_UNKNOWN |
| east-bay | 2101 Webster St | NEEDS_PUBLIC_EVIDENCE | RIGHTS_UNKNOWN |
| east-bay | 2111 Franklin St | NEEDS_PUBLIC_EVIDENCE | RIGHTS_UNKNOWN |
| east-bay | 2201 Broadway | NEEDS_PUBLIC_EVIDENCE | RIGHTS_UNKNOWN |
| east-bay | 2335 Broadway | NEEDS_PUBLIC_EVIDENCE | RIGHTS_UNKNOWN |
| east-bay | 415 20th St | NEEDS_PUBLIC_EVIDENCE | RIGHTS_UNKNOWN |
| east-bay | 1410 7th St | NEEDS_PUBLIC_EVIDENCE | RIGHTS_UNKNOWN |
| east-bay | 1440 7th St | NEEDS_PUBLIC_EVIDENCE | RIGHTS_UNKNOWN |
