SOURCE_URL,TARGET_URL,STATUS_CODE,PRESERVE_QUERY_STRING,INCLUDE_SUBDOMAINS,SUBPATH_MATCHING,PRESERVE_PATH_SUFFIX
https://rofo.com/commercial-real-estate/GA/Athens,https://www.rofo.com/commercial-real-estate/GA/athens/,301,true,false,false,false
https://www.rofo.com/OR/Salem,https://www.rofo.com/commercial-real-estate/OR/salem/,301,true,false,false,false
https://rofo.com/OR/Salem,https://www.rofo.com/commercial-real-estate/OR/salem/,301,true,false,false,false
https://www.rofo.com/commercial-real-estate/OR/Salem,https://www.rofo.com/commercial-real-estate/OR/salem/,301,true,false,false,false
https://rofo.com/commercial-real-estate/OR/Salem,https://www.rofo.com/commercial-real-estate/OR/salem/,301,true,false,false,false
https://www.rofo.com/MI/Traverse-City,https://www.rofo.com/commercial-real-estate/MI/traverse-city/,301,true,false,false,false
https://rofo.com/MI/Traverse-City,https://www.rofo.com/commercial-real-estate/MI/traverse-city/,301,true,false,false,false
https://www.rofo.com/commercial-real-estate/MI/Traverse-City,https://www.rofo.com/commercial-real-estate/MI/traverse-city/,301,true,false,false,false
https://rofo.com/commercial-real-estate/MI/Traverse-City,https://www.rofo.com/commercial-real-estate/MI/traverse-city/,301,true,false,false,false
https://www.rofo.com/GA/Macon,https://www.rofo.com/commercial-real-estate/GA/macon/,301,true,false,false,false
https://rofo.com/GA/Macon,https://www.rofo.com/commercial-real-estate/GA/macon/,301,true,false,false,false
https://www.rofo.com/commercial-real-estate/GA/Macon,https://www.rofo.com/commercial-real-estate/GA/macon/,301,true,false,false,false
https://rofo.com/commercial-real-estate/GA/Macon,https://www.rofo.com/commercial-real-estate/GA/macon/,301,true,false,false,false
https://www.rofo.com/MI/Warren,https://www.rofo.com/commercial-real-estate/MI/warren/,301,true,false,false,false
https://rofo.com/MI/Warren,https://www.rofo.com/commercial-real-estate/MI/warren/,301,true,false,false,false
https://www.rofo.com/commercial-real-estate/MI/Warren,https://www.rofo.com/commercial-real-estate/MI/warren/,301,true,false,false,false
https://rofo.com/commercial-real-estate/MI/Warren,https://www.rofo.com/commercial-real-estate/MI/warren/,301,true,false,false,false
https://www.rofo.com/LA/Lafayette,https://www.rofo.com/commercial-real-estate/LA/lafayette/,301,true,false,false,false
https://rofo.com/LA/Lafayette,https://www.rofo.com/commercial-real-estate/LA/lafayette/,301,true,false,false,false
https://www.rofo.com/commercial-real-estate/LA/Lafayette,https://www.rofo.com/commercial-real-estate/LA/lafayette/,301,true,false,false,false
https://rofo.com/commercial-real-estate/LA/Lafayette,https://www.rofo.com/commercial-real-estate/LA/lafayette/,301,true,false,false,false
https://www.rofo.com/IL/Peoria,https://www.rofo.com/commercial-real-estate/IL/peoria/,301,true,false,false,false
https://rofo.com/IL/Peoria,https://www.rofo.com/commercial-real-estate/IL/peoria/,301,true,false,false,false
https://www.rofo.com/commercial-real-estate/IL/Peoria,https://www.rofo.com/commercial-real-estate/IL/peoria/,301,true,false,false,false
https://rofo.com/commercial-real-estate/IL/Peoria,https://www.rofo.com/commercial-real-estate/IL/peoria/,301,true,false,false,false
https://www.rofo.com/MI/Livonia,https://www.rofo.com/commercial-real-estate/MI/livonia/,301,true,false,false,false
https://rofo.com/MI/Livonia,https://www.rofo.com/commercial-real-estate/MI/livonia/,301,true,false,false,false
https://www.rofo.com/commercial-real-estate/MI/Livonia,https://www.rofo.com/commercial-real-estate/MI/livonia/,301,true,false,false,false
https://rofo.com/commercial-real-estate/MI/Livonia,https://www.rofo.com/commercial-real-estate/MI/livonia/,301,true,false,false,false
https://www.rofo.com/TN/Johnson-City,https://www.rofo.com/commercial-real-estate/TN/johnson-city/,301,true,false,false,false
https://rofo.com/TN/Johnson-City,https://www.rofo.com/commercial-real-estate/TN/johnson-city/,301,true,false,false,false
https://www.rofo.com/commercial-real-estate/TN/Johnson-City,https://www.rofo.com/commercial-real-estate/TN/johnson-city/,301,true,false,false,false
https://rofo.com/commercial-real-estate/TN/Johnson-City,https://www.rofo.com/commercial-real-estate/TN/johnson-city/,301,true,false,false,false
https://www.rofo.com/CA/Vallejo,https://www.rofo.com/commercial-real-estate/CA/vallejo/,301,true,false,false,false
https://rofo.com/CA/Vallejo,https://www.rofo.com/commercial-real-estate/CA/vallejo/,301,true,false,false,false
https://www.rofo.com/commercial-real-estate/CA/Vallejo,https://www.rofo.com/commercial-real-estate/CA/vallejo/,301,true,false,false,false
https://rofo.com/commercial-real-estate/CA/Vallejo,https://www.rofo.com/commercial-real-estate/CA/vallejo/,301,true,false,false,false
https://www.rofo.com/FL/New-Port-Richey,https://www.rofo.com/commercial-real-estate/FL/new-port-richey/,301,true,false,false,false
https://rofo.com/FL/New-Port-Richey,https://www.rofo.com/commercial-real-estate/FL/new-port-richey/,301,true,false,false,false
https://www.rofo.com/commercial-real-estate/FL/New-Port-Richey,https://www.rofo.com/commercial-real-estate/FL/new-port-richey/,301,true,false,false,false
https://rofo.com/commercial-real-estate/FL/New-Port-Richey,https://www.rofo.com/commercial-real-estate/FL/new-port-richey/,301,true,false,false,false
https://www.rofo.com/FL/Ormond-Beach,https://www.rofo.com/commercial-real-estate/FL/ormond-beach/,301,true,false,false,false
https://rofo.com/FL/Ormond-Beach,https://www.rofo.com/commercial-real-estate/FL/ormond-beach/,301,true,false,false,false
https://www.rofo.com/commercial-real-estate/FL/Ormond-Beach,https://www.rofo.com/commercial-real-estate/FL/ormond-beach/,301,true,false,false,false
https://rofo.com/commercial-real-estate/FL/Ormond-Beach,https://www.rofo.com/commercial-real-estate/FL/ormond-beach/,301,true,false,false,false
https://www.rofo.com/IN/Fort-Wayne,https://www.rofo.com/commercial-real-estate/IN/fort-wayne/,301,true,false,false,false
https://rofo.com/IN/Fort-Wayne,https://www.rofo.com/commercial-real-estate/IN/fort-wayne/,301,true,false,false,false
https://www.rofo.com/commercial-real-estate/IN/Fort-Wayne,https://www.rofo.com/commercial-real-estate/IN/fort-wayne/,301,true,false,false,false
https://rofo.com/commercial-real-estate/IN/Fort-Wayne,https://www.rofo.com/commercial-real-estate/IN/fort-wayne/,301,true,false,false,false
https://www.rofo.com/NC/Fayetteville,https://www.rofo.com/commercial-real-estate/NC/fayetteville/,301,true,false,false,false
https://rofo.com/NC/Fayetteville,https://www.rofo.com/commercial-real-estate/NC/fayetteville/,301,true,false,false,false
https://www.rofo.com/commercial-real-estate/NC/Fayetteville,https://www.rofo.com/commercial-real-estate/NC/fayetteville/,301,true,false,false,false
https://rofo.com/commercial-real-estate/NC/Fayetteville,https://www.rofo.com/commercial-real-estate/NC/fayetteville/,301,true,false,false,false
https://www.rofo.com/TN/Sevierville,https://www.rofo.com/commercial-real-estate/TN/sevierville/,301,true,false,false,false
https://rofo.com/TN/Sevierville,https://www.rofo.com/commercial-real-estate/TN/sevierville/,301,true,false,false,false
https://www.rofo.com/commercial-real-estate/TN/Sevierville,https://www.rofo.com/commercial-real-estate/TN/sevierville/,301,true,false,false,false
https://rofo.com/commercial-real-estate/TN/Sevierville,https://www.rofo.com/commercial-real-estate/TN/sevierville/,301,true,false,false,false
https://www.rofo.com/GA/Roswell,https://www.rofo.com/commercial-real-estate/GA/roswell/,301,true,false,false,false
https://rofo.com/GA/Roswell,https://www.rofo.com/commercial-real-estate/GA/roswell/,301,true,false,false,false
https://www.rofo.com/commercial-real-estate/GA/Roswell,https://www.rofo.com/commercial-real-estate/GA/roswell/,301,true,false,false,false
https://rofo.com/commercial-real-estate/GA/Roswell,https://www.rofo.com/commercial-real-estate/GA/roswell/,301,true,false,false,false
https://www.rofo.com/LA/Denham-Springs,https://www.rofo.com/commercial-real-estate/LA/denham-springs/,301,true,false,false,false
https://rofo.com/LA/Denham-Springs,https://www.rofo.com/commercial-real-estate/LA/denham-springs/,301,true,false,false,false
https://www.rofo.com/commercial-real-estate/LA/Denham-Springs,https://www.rofo.com/commercial-real-estate/LA/denham-springs/,301,true,false,false,false
https://rofo.com/commercial-real-estate/LA/Denham-Springs,https://www.rofo.com/commercial-real-estate/LA/denham-springs/,301,true,false,false,false
https://www.rofo.com/FL/North-Port,https://www.rofo.com/commercial-real-estate/FL/north-port/,301,true,false,false,false
https://rofo.com/FL/North-Port,https://www.rofo.com/commercial-real-estate/FL/north-port/,301,true,false,false,false
https://www.rofo.com/commercial-real-estate/FL/North-Port,https://www.rofo.com/commercial-real-estate/FL/north-port/,301,true,false,false,false
https://rofo.com/commercial-real-estate/FL/North-Port,https://www.rofo.com/commercial-real-estate/FL/north-port/,301,true,false,false,false
https://www.rofo.com/NY/Syracuse,https://www.rofo.com/commercial-real-estate/NY/syracuse/,301,true,false,false,false
https://rofo.com/NY/Syracuse,https://www.rofo.com/commercial-real-estate/NY/syracuse/,301,true,false,false,false
https://www.rofo.com/commercial-real-estate/NY/Syracuse,https://www.rofo.com/commercial-real-estate/NY/syracuse/,301,true,false,false,false
https://rofo.com/commercial-real-estate/NY/Syracuse,https://www.rofo.com/commercial-real-estate/NY/syracuse/,301,true,false,false,false
https://www.rofo.com/NM/Rio-Rancho,https://www.rofo.com/commercial-real-estate/NM/rio-rancho/,301,true,false,false,false
https://rofo.com/NM/Rio-Rancho,https://www.rofo.com/commercial-real-estate/NM/rio-rancho/,301,true,false,false,false
https://www.rofo.com/commercial-real-estate/NM/Rio-Rancho,https://www.rofo.com/commercial-real-estate/NM/rio-rancho/,301,true,false,false,false
https://rofo.com/commercial-real-estate/NM/Rio-Rancho,https://www.rofo.com/commercial-real-estate/NM/rio-rancho/,301,true,false,false,false
https://www.rofo.com/FL/Gainesville,https://www.rofo.com/commercial-real-estate/FL/gainesville/,301,true,false,false,false
https://rofo.com/FL/Gainesville,https://www.rofo.com/commercial-real-estate/FL/gainesville/,301,true,false,false,false
https://www.rofo.com/commercial-real-estate/FL/Gainesville,https://www.rofo.com/commercial-real-estate/FL/gainesville/,301,true,false,false,false
https://rofo.com/commercial-real-estate/FL/Gainesville,https://www.rofo.com/commercial-real-estate/FL/gainesville/,301,true,false,false,false
https://www.rofo.com/AZ/Gilbert,https://www.rofo.com/commercial-real-estate/AZ/gilbert/,301,true,false,false,false
https://rofo.com/AZ/Gilbert,https://www.rofo.com/commercial-real-estate/AZ/gilbert/,301,true,false,false,false
https://www.rofo.com/commercial-real-estate/AZ/Gilbert,https://www.rofo.com/commercial-real-estate/AZ/gilbert/,301,true,false,false,false
https://rofo.com/commercial-real-estate/AZ/Gilbert,https://www.rofo.com/commercial-real-estate/AZ/gilbert/,301,true,false,false,false
https://www.rofo.com/MO/Joplin,https://www.rofo.com/commercial-real-estate/MO/joplin/,301,true,false,false,false
https://rofo.com/MO/Joplin,https://www.rofo.com/commercial-real-estate/MO/joplin/,301,true,false,false,false
https://www.rofo.com/commercial-real-estate/MO/Joplin,https://www.rofo.com/commercial-real-estate/MO/joplin/,301,true,false,false,false
https://rofo.com/commercial-real-estate/MO/Joplin,https://www.rofo.com/commercial-real-estate/MO/joplin/,301,true,false,false,false
https://www.rofo.com/FL/Port-Saint-Lucie,https://www.rofo.com/commercial-real-estate/FL/port-saint-lucie/,301,true,false,false,false
