city,state_abbr,county,lat,lng,population,zips,building_count,tier,slug,label,city_state_slug,path,source,officefinder_code,incorporated,cdp,ranking,simplemaps_matched,is_new_candidate
Phoenix,AZ,Maricopa County,33.4484,-112.074,4121103,85009 85003 85006 85007 85004 85083 85086 85087 85085 85331 85033 85306 85308 85020 85021 85022 85023 85024 85026 85027 85028 85029 85353 85019 85018 85013 85012 85015 85014 85016 85254 85008 85044 85045 85042 85043 85040 85041 85048 85037 85035 85034 85032 85031 85017 85304 85307 85266 85310 85054 85051 85050 85053 85001 85002 85005 85010 85011 85030 85036 85038 85046 85060 85061 85062 85063 85064 85066 85067 85068 85069 85070 85071 85072 85074 85076 85078 85079 85080 85082,1314,1,phoenix,"Phoenix, AZ",phoenix-az,/commercial-real-estate/AZ/phoenix/,rofo,,,,,true,
Scottsdale,AZ,Maricopa County,33.4942,-111.9261,243821,85259 85258 85251 85250 85257 85255 85254 85266 85262 85260 85252 85261 85267 85271,429,2,scottsdale,"Scottsdale, AZ",scottsdale-az,/commercial-real-estate/AZ/scottsdale/,rofo,,,,,true,
Tempe,AZ,Maricopa County,33.4255,-111.94,188065,85281 85282 85283 85284 85280 85285 85287 85288,362,2,tempe,"Tempe, AZ",tempe-az,/commercial-real-estate/AZ/tempe/,rofo,,,,,true,
Tucson,AZ,Pima County,32.2226,-110.9747,890860,85705 85707 85706 85709 85710 85756 85723 85726 85724 85701 85708 85719 85748 85745 85747 85716 85714 85715 85712 85713 85711 85734 85730 85721 85702 85703 85717 85725 85731 85732 85738 85751 85754 85775,652,2,tucson,"Tucson, AZ",tucson-az,/commercial-real-estate/AZ/tucson/,rofo,,,,,true,
Alameda,CA,Alameda County,37.7668,-122.267,77238,94501 94502,1,3,alameda,"Alameda, CA",alameda-ca,/commercial-real-estate/CA/alameda/,rofo,,,,,true,
Alhambra,CA,Los Angeles County,34.084,-118.1355,81022,91803 91801 91802 91804 91896 91899,0,3,alhambra,"Alhambra, CA",alhambra-ca,/commercial-real-estate/CA/alhambra/,officefinder+simplemaps,1578,TRUE,FALSE,2,true,true
Aliso Viejo,CA,Orange County,33.5792,-117.7289,51113,92656,0,3,aliso-viejo,"Aliso Viejo, CA",aliso-viejo-ca,/commercial-real-estate/CA/aliso-viejo/,officefinder+simplemaps,1579,TRUE,FALSE,2,true,true
Anaheim,CA,Orange County,33.839,-117.8574,344521,92808 92806 92807 92804 92805 92802 92801 92803 92809 92812 92815 92816 92817 92825 92899,1,3,anaheim,"Anaheim, CA",anaheim-ca,/commercial-real-estate/CA/anaheim/,rofo,,,,,true,
Arcadia,CA,Los Angeles County,34.1342,-118.0373,55170,91006 91007 91066 91077,1,3,arcadia,"Arcadia, CA",arcadia-ca,/commercial-real-estate/CA/arcadia/,rofo,,,,,true,
Atwater,CA,Merced County,37.3529,-120.5959,32162,95301,0,3,atwater,"Atwater, CA",atwater-ca,/commercial-real-estate/CA/atwater/,officefinder+simplemaps,1625,TRUE,FALSE,3,true,true
Bakersfield,CA,Kern County,35.3733,-119.0187,566351,93306 93307 93304 93305 93301 93309 93314 93311 93313 93312 93302 93383 93384 93385 93387 93389 93390,602,2,bakersfield,"Bakersfield, CA",bakersfield-ca,/commercial-real-estate/CA/bakersfield/,rofo,,,,,true,
Berkeley,CA,Alameda County,37.8715,-122.273,120257,94708 94707 94705 94704 94703 94702 94709 94710 94720 94701 94712,311,2,berkeley,"Berkeley, CA",berkeley-ca,/commercial-real-estate/CA/berkeley/,rofo,,,,,true,
Beverly Hills,CA,Los Angeles County,34.0786,-118.4021,31624,90211 90210 90212 90209,2,3,beverly-hills,"Beverly Hills, CA",beverly-hills-ca,/commercial-real-estate/CA/beverly-hills/,rofo,,,,,true,
Brea,CA,Orange County,33.9254,-117.8655,47469,92821 92823 92822,1,3,brea,"Brea, CA",brea-ca,/commercial-real-estate/CA/brea/,rofo,,,,,true,
Burbank,CA,Los Angeles County,34.1808,-118.309,104546,91506 91504 91505 91502 91501 91503 91507 91508 91510 91521 91522 91523,412,2,burbank,"Burbank, CA",burbank-ca,/commercial-real-estate/CA/burbank/,rofo,,,,,true,
