code,raw_market,state_abbr,market_name,classification,confidence,reason,slug
137,CA - Los Angeles-South Bay,CA,Los Angeles-South Bay,regional_bucket,medium,matched_regional_bucket_term,los-angeles-south-bay
312,CA - San Francisco-Peninsula,CA,San Francisco-Peninsula,regional_bucket,medium,matched_regional_bucket_term,san-francisco-peninsula
32,MA - Boston-MetroWest,MA,Boston-MetroWest,regional_bucket,medium,matched_regional_bucket_term,boston-metrowest
2014,TN - Nashville-Metro Center,TN,Nashville-Metro Center,regional_bucket,medium,matched_regional_bucket_term,nashville-metro-center
