state_abbr,market_name,slug,code,matched_existing,lat,lng,county,tier,needs_geocode
CT,New London,new-london,173,false,,,,,true
CT,Newington,newington,2055,false,,,,,true
CT,Old Saybrook,old-saybrook,2579,false,,,,,true
CT,Sandy Hook,sandy-hook,2495,false,,,,,true
CT,Somers,somers,2578,false,,,,,true
CT,Springfield,springfield,2582,false,,,,,true
CT,Waterbury,waterbury,625,false,,,,,true
DC,Capitol Riverfront,capitol-riverfront,1443,false,,,,,true
DC,Georgetown,georgetown,1442,false,,,,,true
DC,Northeast,northeast,1445,false,,,,,true
DC,Northwest,northwest,1446,false,,,,,true
DC,Southeast,southeast,1449,false,,,,,true
DC,West End,west-end,1444,false,,,,,true
DE,Greenville,greenville,1458,false,,,,,true
DE,Montchanin,montchanin,1461,false,,,,,true
DE,Newport,newport,1460,false,,,,,true
FL,Aventura,aventura,18,false,,,,,true
FL,Bluffton,bluffton,2450,false,,,,,true
FL,Boynton Beach,boynton-beach,2534,false,,,,,true
FL,Casselberry,casselberry,1662,false,,,,,true
FL,Celebration,celebration,776,false,,,,,true
FL,Coconut Creek,coconut-creek,2491,false,,,,,true
FL,Cooper City,cooper-city,1596,false,,,,,true
FL,Cypress Creek,cypress-creek,1976,false,,,,,true
FL,Dania Beach,dania-beach,1605,false,,,,,true
FL,Davie,davie,1597,false,,,,,true
FL,Daytona,daytona,959,false,,,,,true
FL,Doral,doral,1151,false,,,,,true
FL,East Lake Orient Park,east-lake-orient-park,2263,false,,,,,true
FL,Ft. Lauderdale,ft-lauderdale,2451,false,,,,,true
FL,Hallandale,hallandale,1606,false,,,,,true
FL,Kendall,kendall,576,false,,,,,true
FL,Lauderdale Lakes,lauderdale-lakes,1601,false,,,,,true
FL,Lauderhill,lauderhill,1602,false,,,,,true
FL,Lighthouse Point,lighthouse-point,1600,false,,,,,true
FL,Longwood,longwood,1670,false,,,,,true
FL,Mango,mango,2627,false,,,,,true
FL,Margate,margate,1599,false,,,,,true
FL,Miami Gardens,miami-gardens,1607,false,,,,,true
FL,Neptune,neptune,2619,false,,,,,true
FL,Oakland Park,oakland-park,1604,false,,,,,true
FL,Ocoee,ocoee,1669,false,,,,,true
FL,Oviedo,oviedo,1665,false,,,,,true
FL,Palm Beach,palm-beach,2159,false,,,,,true
FL,Pembroke Pines,pembroke-pines,201,false,,,,,true
FL,Pinellas Park,pinellas-park,1570,false,,,,,true
FL,Ponte Vedra,ponte-vedra,2620,false,,,,,true
FL,Safety Harbor,safety-harbor,2551,false,,,,,true
FL,Saint Pete Beach,saint-pete-beach,1572,false,,,,,true
FL,Sandestin,sandestin,2333,false,,,,,true
FL,Seminole,seminole,1573,false,,,,,true
FL,St Lucie,st-lucie,2681,false,,,,,true
FL,St Petersburg,st-petersburg,250,false,,,,,true
FL,St Petersburg CBD,st-petersburg-cbd,2690,false,,,,,true
FL,Sunny Isles Beach,sunny-isles-beach,2414,false,,,,,true
FL,Tamarac,tamarac,1603,false,,,,,true
FL,Temple Terrace,temple-terrace,1576,false,,,,,true
FL,Town n Country,town-n-country,2266,false,,,,,true
FL,Trinity,trinity,1575,false,,,,,true
FL,Valrico,valrico,2628,false,,,,,true
FL,Winter Springs,winter-springs,1663,false,,,,,true
GA,Adairsville,adairsville,1352,false,,,,,true
GA,College Park,college-park,2316,false,,,,,true
GA,Doraville,doraville,2196,false,,,,,true
GA,Dunwoody,dunwoody,500,false,,,,,true
GA,Johns Creek,johns-creek,2335,false,,,,,true
GA,Northlake,northlake,1992,false,,,,,true
GA,Peachtree City,peachtree-city,2556,false,,,,,true
GA,Sandy Springs,sandy-springs,2264,false,,,,,true
GA,Sugar Hill,sugar-hill,2195,false,,,,,true
GA,Tyrone,tyrone,2555,false,,,,,true
HI,East Oahu,east-oahu,1281,false,,,,,true
HI,Leeward Oahu,leeward-oahu,1286,false,,,,,true
HI,Maui,maui,147,false,,,,,true
HI,Windward Oahu,windward-oahu,1287,false,,,,,true
IA,Bettendorf,bettendorf,518,false,,,,,true
IA,Council Bluffs,council-bluffs,1384,false,,,,,true
ID,Coeur D'Alene,coeur-d-alene,2676,false,,,,,true
ID,Treasire Valley,treasire-valley,2661,false,,,,,true
IL,Addison,addison,1140,false,,,,,true
IL,Bannockburn,bannockburn,1197,false,,,,,true
IL,Bedford Park,bedford-park,2600,false,,,,,true
IL,Bloomingdale,bloomingdale,1164,false,,,,,true
IL,Burr Ridge,burr-ridge,614,false,,,,,true
IL,Cicero,cicero,2523,false,,,,,true
IL,Crystal Lake,crystal-lake,1165,false,,,,,true
IL,Darien,darien,1173,false,,,,,true
IL,East Moline,east-moline,2198,false,,,,,true
IL,Elk Grove,elk-grove,1194,false,,,,,true
IL,Evergreen Park,evergreen-park,2385,false,,,,,true
IL,Glen Ellyn,glen-ellyn,1176,false,,,,,true
IL,Gurnee,gurnee,1202,false,,,,,true
IL,Hillside,hillside,2500,false,,,,,true
IL,Hinsdale,hinsdale,1177,false,,,,,true
IL,Lincolnshire,lincolnshire,1206,false,,,,,true
IL,Lincolnwood,lincolnwood,1207,false,,,,,true
IL,Lombard,lombard,1179,false,,,,,true
IL,Moline,moline,924,false,,,,,true
IL,Morton Grove,morton-grove,1208,false,,,,,true
IL,Mount Prospect,mount-prospect,1168,false,,,,,true
IL,Mundenlein,mundenlein,1209,false,,,,,true
IL,Northfield,northfield,1211,false,,,,,true
IL,Oak Lawn,oak-lawn,1188,false,,,,,true
IL,Oakbrook Terrace,oakbrook-terrace,2274,false,,,,,true
IL,Palos Heights,palos-heights,1190,false,,,,,true
IL,Rock Island,rock-island,2197,false,,,,,true
IL,South Holland,south-holland,2565,false,,,,,true
IL,St. Charles,st-charles,1180,false,,,,,true
IL,Vernon Hills,vernon-hills,1213,false,,,,,true
IL,Westmont,westmont,1182,false,,,,,true
IN,Avon,avon,1749,false,,,,,true
IN,Buchanan,buchanan,2398,false,,,,,true
IN,Columbia City,columbia-city,1702,false,,,,,true
IN,Elkhart,elkhart,70,false,,,,,true
IN,Huntington,huntington,1699,false,,,,,true
IN,Lawrence,lawrence,2202,false,,,,,true
IN,Louisville,louisville,1588,false,,,,,true
IN,Mishawaka,mishawaka,160,false,,,,,true
IN,Plymouth,plymouth,2399,false,,,,,true
IN,Saint Joseph,saint-joseph,2396,false,,,,,true
KS,Edwardsville,edwardsville,2608,false,,,,,true
KS,Kansas City,kansas-city,1589,false,,,,,true
KS,Lenexa,lenexa,1806,false,,,,,true
KS,Merriam,merriam,1808,false,,,,,true
KS,Mission,mission,1809,false,,,,,true
KS,Roeland Park,roeland-park,2299,false,,,,,true
KY,Erlanger,erlanger,433,false,,,,,true
KY,Fort Mitchell,fort-mitchell,1794,false,,,,,true
