code,raw_market,state_abbr,market_name,classification,confidence,reason,parent_city,child_submarket,slug,matched,rofo_city,rofo_slug,rofo_lat,rofo_lng,rofo_path
2145,CA - Montebello,CA,Montebello,city,medium,default_city,,,montebello,false,,,,,
2144,CA - Monterey Park,CA,Monterey Park,city,medium,default_city,,,monterey-park,false,,,,,
1872,CA - National City,CA,National City,city,medium,default_city,,,national-city,false,,,,,
1956,CA - Northridge,CA,Northridge,city,medium,default_city,,,northridge,false,,,,,
2448,CA - Orinda,CA,Orinda,city,medium,default_city,,,orinda,false,,,,,
2595,CA - Otay Mesa,CA,Otay Mesa,city,medium,default_city,,,otay-mesa,false,,,,,
2622,CA - Pacoima,CA,Pacoima,city,medium,default_city,,,pacoima,false,,,,,
1954,CA - Panorama City,CA,Panorama City,city,medium,default_city,,,panorama-city,false,,,,,
2142,CA - Pico Rivera,CA,Pico Rivera,city,medium,default_city,,,pico-rivera,false,,,,,
2515,CA - Placerville,CA,Placerville,city,medium,default_city,,,placerville,false,,,,,
2294,CA - Playa Vista,CA,Playa Vista,city,medium,default_city,,,playa-vista,false,,,,,
1874,CA - Poway,CA,Poway,city,medium,default_city,,,poway,false,,,,,
2277,CA - Redondo Beach,CA,Redondo Beach,city,medium,default_city,,,redondo-beach,false,,,,,
1953,CA - Reseda,CA,Reseda,city,medium,default_city,,,reseda,false,,,,,
2237,CA - San Bernadino,CA,San Bernadino,city,medium,default_city,,,san-bernadino,false,,,,,
225,CA - San Fernando Valley,CA,San Fernando Valley,city,medium,default_city,,,san-fernando-valley,false,,,,,
634,CA - San Gabriel Valley-East,CA,San Gabriel Valley-East,submarket,high,city_submarket_pattern,San Gabriel Valley,East,san-gabriel-valley-east,false,,,,,
1896,CA - San Juan Capistrano,CA,San Juan Capistrano,city,medium,default_city,,,san-juan-capistrano,false,,,,,
232,CA - Santa Cruz,CA,Santa Cruz,city,medium,default_city,,,santa-cruz,false,,,,,
1537,CA - Santa Maria,CA,Santa Maria,city,medium,default_city,,,santa-maria,false,,,,,
1876,CA - Santee,CA,Santee,city,medium,default_city,,,santee,false,,,,,
441,CA - Saratoga,CA,Saratoga,city,medium,default_city,,,saratoga,false,,,,,
2135,CA - Scotts Valley,CA,Scotts Valley,city,medium,default_city,,,scotts-valley,false,,,,,
753,CA - Seal Beach,CA,Seal Beach,city,medium,default_city,,,seal-beach,false,,,,,
2497,CA - Sonoma,CA,Sonoma,city,medium,default_city,,,sonoma,false,,,,,
1898,CA - Stanton,CA,Stanton,city,medium,default_city,,,stanton,false,,,,,
763,CA - Studio City,CA,Studio City,city,medium,default_city,,,studio-city,false,,,,,
336,CA - Tahoe Basin,CA,Tahoe Basin,city,medium,default_city,,,tahoe-basin,false,,,,,
972,CA - Tarzana,CA,Tarzana,city,medium,default_city,,,tarzana,false,,,,,
2621,CA - Vernon,CA,Vernon,city,medium,default_city,,,vernon,false,,,,,
2295,CA - West Hollywood,CA,West Hollywood,city,medium,default_city,,,west-hollywood,false,,,,,
1899,CA - Westminster,CA,Westminster,city,medium,default_city,,,westminster,false,,,,,
2639,CA - Wildomar,CA,Wildomar,city,medium,default_city,,,wildomar,false,,,,,
1947,CA - Winnetka,CA,Winnetka,city,medium,default_city,,,winnetka,false,,,,,
1033,CO - Church Ranch,CO,Church Ranch,city,medium,default_city,,,church-ranch,false,,,,,
1055,CO - Denver Golden Triangle,CO,Denver Golden Triangle,city,medium,default_city,,,denver-golden-triangle,false,,,,,
1013,CO - Firestone,CO,Firestone,city,medium,default_city,,,firestone,false,,,,,
1012,CO - Frederick,CO,Frederick,city,medium,default_city,,,frederick,false,,,,,
